Key_0_0,ParticleID_17,ParticleID_1,ParticleID_32,Key_1_3
k48633,37.5293,2.28262,0.97622,k24459
k26486,68.308,1.72557,1.59207,k41661
k71275,26.0557,0.563817,0.4914439999999999,k69730
k19584,9.8955,0.740313,0.4655609999999999,k45322
k21123,29.7689,2.7037,2.65623,k38657
k53424,11.8368,2.21056,1.57296,k30893
k37241,21.144,1.29314,1.1777799999999998,k19545
k31833,58.3419,1.52414,2.4388,k16346
k12299,81.0949,1.80601,1.12618,k58378
k57230,14.5792,1.89008,1.76567,k36318
k55840,32.1499,2.66837,1.87857,k25131
k37824,4.64365,1.46169,1.94016,k31728
k36093,25.4995,1.03716,1.72688,k53202
k21064,11.3456,2.50941,2.4198,k18525
k19747,67.2311,2.57041,1.94962,k61676
k47679,51.4688,1.26276,1.31636,k55395
k62905,11.4872,1.7941200000000002,1.47961,k6617
k7101,20.8584,1.36374,0.860562,k46336
k29824,16.2077,4.27746,1.32575,k64691
k9608,52.431,2.12791,2.89658,k37577
k9525,22.1352,1.7407400000000002,0.706059,k42520
k28549,72.5905,1.09119,3.8675,k65360
k45648,27.7911,2.20661,2.74392,k18589
k28104,8.28471,1.49199,1.70183,k62707
k2856,17.0429,1.0805,0.608971,k69997
k347,6.80392,2.37873,0.700699,k33158
k34304,21.3128,1.66752,1.17183,k52988
k18775,9.56375,6.315259999999999,3.3174,k38025
k10315,17.3516,1.88314,0.967737,k49470
k53936,7.792,2.18968,0.6420600000000001,k12446
k43534,9.32701,1.34155,1.3755,k3243
k49995,47.3076,2.14304,1.5326,k11904
k11723,21.3909,1.52305,0.509188,k11889
k67152,19.3302,1.12599,2.19653,k12538
k43568,10.187,0.962832,1.22216,k24945
k7140,52.1873,2.38231,2.74858,k31173
k10598,28.9529,0.701807,1.09325,k67897
k35284,14.7685,1.57767,0.753686,k55136
k22470,9.21064,0.767063,0.701842,k12814
k24507,16.713,0.460208,0.27644,k15412
k62491,62.9623,1.48611,2.91575,k4281
k54694,13.2281,0.74847,0.710299,k23756
k33558,21.7125,1.01603,0.845202,k37121
k64466,20.2539,1.98216,1.37148,k33984
k26174,20.8438,1.58397,2.33009,k9202
k46781,35.8901,1.01159,1.0966,k72856
k21712,36.5918,2.10332,1.77839,k69521
k11645,44.3424,1.5221,1.95502,k40061
k26903,9.95114,0.855932,0.217042,k51558
k37549,21.2318,1.78991,0.987197,k45331
k36996,70.3843,1.28493,0.7651560000000001,k16818
k60803,44.944,0.564079,1.52906,k65431
k56077,946.931,0.425095,2.85568,k1277
k15814,38.9435,1.23336,0.714681,k1338
