Key_1_3,ParticleID_5,ParticleID_12,ParticleID_46,Key_2_11
k24459,0.120071,0.895834,0.377589,52508
k41661,0.14015,0.0384535,0.0528733,11494
k69730,0.400041,0.90418,0.20794,25285
k45322,0.163919,0.6661,0.452466,28228
k38657,0.0245231,-0.0794228,-0.866685,68767
k30893,0.032124,0.302742,-0.604703,47143
k19545,0.0383834,0.4806109999999999,0.364458,37228
k16346,0.0,0.606383,-1.04036,58630
k58378,0.1057839999999999,-0.36358,0.297583,21713
k36318,0.158076,0.404342,-1.17075,40091
k25131,0.0930516,-0.141713,-0.152225,31322
k31728,0.430585,0.933261,0.0379694,46951
k53202,0.1490119999999999,0.67168,-0.0557612,41209
k18525,0.0,0.693738,-0.0908154,61238
k61676,0.11514,0.7914680000000001,-0.5632050000000001,29587
k55395,0.130365,0.931632,-1.09092,34203
k6617,0.0,-0.5951420000000001,-0.014125,63903
k46336,0.2183659999999999,0.7211989999999999,0.263396,29192
k64691,0.146964,-0.212186,0.58302,6523
k37577,0.100999,0.8977209999999999,-1.6161299999999998,44091
k42520,0.155962,-0.0911184,0.401784,29496
k65360,0.0417141,0.550316,0.129789,49065
k18589,0.0588001,0.415622,0.6649430000000001,24286
k62707,0.0289489,0.400165,-0.647245,55921
k69997,0.154019,0.893249,0.504272,44629
k33158,0.131775,0.823248,-0.0675781999999999,15310
k52988,0.153589,0.490295,-0.415664,40807
k38025,0.0312757,0.688026,-0.8308270000000001,47558
k49470,0.123179,0.501012,0.153651,7772
k12446,0.17232,0.326732,-0.0647409,25015
k3243,0.0,0.736064,-0.7328359999999999,25880
k11904,0.1473799999999999,0.895835,0.319486,20810
k11889,0.159679,0.506319,-1.2982200000000002,63683
k12538,0.0,0.861135,-0.6134430000000001,57830
k24945,0.161801,0.982625,0.273054,66032
k31173,0.1193029999999999,-0.708163,0.128132,18067
k67897,0.279481,0.796826,0.358684,14868
k55136,0.180362,-0.174704,0.405842,42357
k12814,0.126971,0.395151,0.181225,7346
k15412,0.353055,0.954785,-0.0517781999999999,58793
k4281,0.0,0.588067,0.785508,24789
k23756,0.184165,0.67213,0.240611,43076
k37121,0.219707,0.91144,0.226688,12670
k33984,0.146394,0.774452,0.239479,10273
k9202,0.172725,0.907743,-1.09348,65822
k72856,0.149264,0.792841,0.400597,10648
k69521,0.11554,-0.957983,0.455916,40706
k40061,0.109215,-0.213531,-0.0516790999999999,33661
k51558,0.244792,0.960523,0.452993,37558
k45331,0.127645,0.893596,-0.227036,42662
k16818,0.16283,0.555508,0.401938,21087
k65431,0.115994,0.8597940000000001,0.467289,48621
k1277,0.0604020999999999,0.0813413,-3.19034,60540
k1338,0.153795,0.761966,0.141424,45157
k63575,0.13407,0.938231,0.241304,56293
k72748,0.135262,0.784339,0.194348,53572
k71229,0.093108,0.616388,0.6014,56615
k62185,0.149679,0.500159,0.1822,61938
k6622,0.132446,0.919287,-0.752768,48651
k67089,0.120197,0.309563,1.27259,34127
k8164,0.042191,0.152769,0.781513,17586
k32856,0.0851833,0.998768,1.53006,9981
k69920,0.151725,0.783702,0.450158,34293
k12793,0.133683,0.101292,0.164656,70278
