Key_1_1,ParticleID_11,ParticleID_27,ParticleID_8,Key_2_4
k22426,249.996,1.83014,3.5468300000000004,k21029
k64182,388.395,1.73174,3.40398,k14058
k29237,217.095,1.35821,3.3713,k37208
k32949,124.58,1.66753,3.04988,k33035
k61976,202.765,1.67242,3.63984,k64093
k64361,437.264,1.55601,3.659,k11537
k40343,1.51227,1.4601,3.4618900000000004,k50189
k51484,187.774,1.27846,4.18181,k5129
k70477,154.889,1.91389,3.5277,k51741
k69983,234.976,1.81123,3.5664300000000004,k26438
k39999,176.49900000000002,1.80376,4.040690000000001,k8125
k54912,162.808,1.16632,3.26409,k12351
k8502,102.079,1.27916,3.3793900000000003,k47878
k19283,101.2,1.61144,3.32464,k6894
k54097,197.937,1.90758,3.23931,k15954
k5743,230.864,1.50278,3.74647,k57494
k6146,13.2476,1.70029,3.26995,k815
k15340,43.1303,1.3485200000000002,3.3525400000000003,k17208
k18779,203.286,1.8719,3.88975,k62656
k38605,232.664,1.3965,3.61724,k3543
k22437,94.7069,1.81288,3.92222,k68283
k52930,95.5182,1.95661,3.50179,k40830
k19488,238.54,1.86296,3.9896,k1616
k35782,268.769,1.5557299999999998,3.88369,k43953
k48012,77.3675,1.6720400000000002,3.20777,k29329
k8727,250.145,1.32004,3.60709,k44143
k17498,115.614,1.25589,3.62401,k50720
k11099,309.279,1.38346,3.99031,k32438
k45474,179.47799999999998,1.56361,3.3160800000000004,k62133
k16739,299.969,1.37808,3.58615,k35147
k49399,75.3451,1.80136,3.82317,k63227
k4150,141.39700000000002,1.54423,3.36429,k72841
k46628,143.554,1.39668,3.48549,k20673
k57905,82.1353,1.60389,3.48685,k21993
k29320,308.322,1.74565,3.1027400000000003,k4953
k62748,189.18400000000003,1.51595,3.33728,k24512
k23809,113.257,1.2636,3.3587,k67554
k21245,52.5139,1.49994,3.08074,k44977
k37242,420.279,1.7200400000000002,3.3303,k50903
k34281,173.127,1.7128,3.2178400000000003,k7519
k20463,-2.48077,1.78888,3.5389,k38244
k52809,396.405,1.48521,3.35987,k49597
k20444,230.946,1.86649,3.2941800000000003,k6013
k6597,175.96099999999998,1.83061,3.41581,k49357
k59781,193.076,1.47365,3.60373,k39391
k24649,87.8149,1.90053,3.24791,k29687
k70635,294.085,1.7331299999999998,3.47175,k24046
k27374,454.046,1.7622,3.45205,k55169
k31432,418.5630000000001,1.62568,3.3407400000000003,k49979
k72968,291.79200000000003,1.31332,3.58731,k70343
k6504,196.035,1.63028,3.64646,k18095
k13849,42.2041,1.85935,3.1347,k61231
k52189,259.982,1.72905,3.86458,k50194
k27420,159.64600000000002,1.83487,3.42579,k32275
k40025,249.968,1.68154,3.27346,k38615
k64522,280.712,1.51589,3.44972,k50758
k53168,204.42,1.81045,3.27308,k8997
k52138,249.331,1.84794,3.5168699999999995,k23113
k9594,104.155,1.17115,3.87212,k60316
k13783,52.0764,1.83424,3.30798,k15308
k1808,-0.241821,1.85116,3.23722,k12538
k72500,87.9386,1.60325,3.2501,k38461
k29475,130.04,1.74945,3.60122,k16753
k4137,307.207,1.67435,3.5221400000000003,k62879
k5314,45.9178,1.52352,3.19035,k1569
k20983,332.581,1.6871200000000002,3.5691900000000003,k11891
k5526,398.924,1.46435,3.4689300000000003,k33139
k10532,145.287,1.35543,3.51266,k27238
k25981,185.101,1.5634,3.62397,k53908
k31899,149.375,2.77755,3.63102,k11443
k60036,130.78799999999998,1.43394,3.0458,k57643
k70721,186.397,1.40726,3.84242,k54072
k19242,67.8788,1.70928,3.08094,k30293
k17967,193.502,2.88957,3.77778,k65931
k58329,41.4232,2.22471,3.551,k8645
k55093,244.126,1.64357,3.3705300000000005,k5964
k26007,329.647,2.00005,3.6944,k55533
