Key_0_0,ParticleID_0,ParticleID_48,ParticleID_37,Key_1_2
k48633,6.71799,4.5865800000000005,-2.97682,k18443
k26486,6.283919999999999,1.11028,-2.26237,k8239
k71275,3.5089,-0.201779,-4.01251,k71728
k19584,5.0489,1.1982,-4.3675,k23660
k21123,5.89708,-0.145495,-1.43783,k19518
k53424,6.26478,2.04437,-2.34018,k54378
k37241,4.27594,0.89287,-2.85971,k34437
k31833,6.344,0.224069,-1.52059,k34463
k12299,5.93613,2.42809,-3.0019400000000003,k6109
k57230,5.93497,-0.0850468,-2.09849,k21156
k55840,7.90781,7.70022,-2.0472900000000003,k15360
k37824,3.19396,0.514614,-1.98591,k72215
k36093,3.831280000000001,1.07646,-1.7267099999999995,k64503
k21064,3.8541,2.50678,-1.46298,k45523
k19747,6.00312,3.77608,-1.78467,k33239
k47679,6.575939999999999,2.09069,-2.79075,k57289
k62905,5.282369999999999,1.29712,-1.91952,k9574
k7101,4.60781,0.643994,-3.54442,k28848
k29824,7.260339999999999,1.907,-1.3871,k23068
k9608,5.83014,0.296517,-1.35212,k71091
k9525,6.19193,4.291869999999999,-3.35186,k61168
k28549,6.458480000000001,4.841069999999999,-0.661474,k30341
k45648,7.499239999999999,13.3298,-1.3052700000000002,k68420
k28104,6.03037,0.4577239999999999,-2.17873,k37352
k2856,4.85186,2.47701,-3.58629,k9699
k347,5.03745,0.254415,-3.17901,k3257
k34304,6.15037,0.221657,-2.83717,k38282
k18775,6.671189999999999,4.92809,-0.883949,k61916
k10315,4.63975,2.07296,-2.84563,k8835
k53936,3.6871,1.04185,-3.76172,k60725
k43534,5.00429,2.13827,-2.24607,k4411
k49995,4.6346,0.7360270000000001,-2.54042,k67931
k11723,6.18123,-0.268581,-2.86397,k30104
k67152,5.43032,1.41791,-1.75002,k11581
k43568,4.738180000000001,1.41307,-2.83751,k9223
k7140,4.70576,0.361151,-1.29996,k4275
k10598,2.84554,0.157966,-2.89258,k19260
k35284,4.82939,2.15861,-3.50884,k19172
k22470,4.98168,0.451475,-3.6082,k67687
k24507,3.69667,0.261292,-4.825130000000001,k31966
k62491,5.85109,6.38561,-1.16337,k63389
k54694,3.77202,0.452484,-3.64566,k41157
k33558,5.2911,1.12102,-3.08268,k7813
k64466,4.90117,2.28065,-2.0374,k5518
k26174,5.89396,0.107064,-1.57648,k14411
k46781,6.06656,2.3221700000000003,-3.00097,k2146
k21712,5.4055,2.40521,-2.07438,k42307
k11645,4.79935,2.0741,-2.08963,k41314
k26903,4.198169999999999,2.0365,-5.15479,k16319
k37549,5.339519999999999,0.0757557,-3.12834,k19230
k36996,4.2163,1.46389,-2.84548,k19672
k60803,5.60787,3.82939,-1.86543,k38442
k56077,7.27821,-0.0737701,-1.37037,k36150
k15814,5.65289,3.05524,-3.40516,k6817
k3198,4.364,0.174296,-3.35102,k72995
k61614,5.506390000000001,3.13245,-2.17287,k14750
k31230,5.57169,3.34925,-2.44757,k40982
k41572,5.09788,0.7164,-2.2399,k49311
k6299,7.631939999999999,2.9995700000000003,-2.4256900000000003,k10109
k69704,5.62093,1.2844,-2.74545,k29492
k32497,5.89107,4.23961,-3.11919,k56960
k71523,5.3401,5.46336,-1.79075,k32526
k67546,5.82497,3.46038,-3.14491,k9055
k48371,5.43635,2.53044,-2.78848,k15592
k38639,4.63783,2.17318,-3.6179,k39174
k39108,6.45057,3.96897,-2.17015,k59727
k48058,4.51526,0.208117,-2.13141,k4736
k2803,4.09011,0.690519,-2.1691,k46119
k63044,3.4597300000000004,-0.423266,-3.39186,k63680
k10868,5.86764,-2.56145,-2.448,k22280
k24332,4.40817,0.121054,-2.82713,k69351
k39953,5.82332,8.29888,-1.956,k5944
k67134,4.87955,1.2718200000000002,-2.83351,k56489
k60880,6.60169,3.2775199999999995,-2.5937900000000003,k66282
k44235,6.2419,5.22476,-1.93455,k53437
k9897,5.446330000000001,2.07372,-2.32261,k45678
k71354,5.8520900000000005,1.91727,-2.25069,k17938
k20026,4.83504,0.00464361,-3.13041,k66451
k40024,4.0822,0.511542,-3.13992,k29939
k38757,4.97681,1.56096,-4.5185,k8701
k7990,6.06971,0.395187,-2.80718,k39144
k34460,5.8615,3.2924900000000004,-1.13353,k68189
k37587,5.20516,3.655980000000001,-3.03059,k2506
k31799,5.538930000000001,0.427663,-2.68847,k36666
k9468,8.72911,0.544133,-2.03775,k27536
k37731,5.35993,1.35825,-1.3683299999999998,k28116
k33955,4.26503,0.0677063,-3.6597,k47023
k26681,5.16947,4.06841,-1.37838,k38872
k67830,4.81835,1.17826,-1.6790200000000002,k43451
k925,3.48072,-0.44021,-2.81421,k29095
k728,5.51014,2.09715,-3.00903,k43558
k48209,4.98983,0.971287,-2.2246900000000003,k43640
k53276,3.47638,0.505785,-4.34002,k34828
k24894,5.33258,4.6252,-3.71709,k6759
k4586,5.40457,1.013,-2.52051,k52942
k15477,3.42531,0.00930892,-1.22981,k4017
k31234,6.135680000000001,4.55536,-1.51301,k72048
k65904,5.25062,1.51811,-2.56077,k50071
k43917,7.1499,0.78597,-2.92837,k69512
k13499,5.224819999999999,0.4769,-3.75907,k44672
k40537,6.02324,1.62768,-1.64949,k42747
k25352,7.44033,4.16256,-1.99407,k66551
k971,4.61825,1.06519,-1.5003,k40841
k39783,5.2572,1.43539,-2.63366,k43713
k71250,5.33279,3.27135,-2.7982400000000003,k36737
k33559,2.76316,0.0368149,-3.19962,k39581
k35408,5.26751,1.90717,-3.02432,k24174
k33555,3.45701,-0.153164,-3.54532,k16
k1933,6.343380000000001,0.763249,-1.58626,k61710
k40862,5.11989,-0.178802,-4.12295,k41353
k46142,6.37527,2.96771,-2.01965,k72511
k39327,5.59547,3.04236,-2.37825,k33809
k9100,4.82496,-0.0701201,-3.53554,k36418
k14488,6.34817,1.22557,-1.7502799999999998,k17873
k62066,6.14572,2.13689,-2.64575,k27661
