target,D34,D137,D415,D190,D422,D399,D935,D176,D926,D235,Key_0_0
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,k2639
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,k2931
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,k3004
0,0.0728,0.125,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,k967
0,0.04,0.0625,0.266666667,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,k940
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,k1783
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,k1859
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,k226
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.05,0.0,k1964
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,k644
0,0.0,0.1875,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.0,0.823289009,k2688
0,0.103565794,0.3125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,k1941
0,0.0393,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.1,0.0,k2029
0,0.04,0.0,0.0,0.636643246,0.0,0.0,0.214285714,0.0,0.175,0.0,k601
0,0.0,0.0625,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,k393
0,0.0,0.0625,0.333333333,0.636643246,0.181818182,0.0,0.0,0.0,0.0,0.0,k579
0,0.0,0.125,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,k1423
0,0.04,0.1875,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,k2886
0,0.0393,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,k182
0,0.0859,0.125,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,k1020
0,0.0728,0.0625,0.266666667,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,k2813
0,0.0917,0.0,0.133333333,0.636643246,0.0,0.0,0.142857143,0.0,0.15,0.0,k3235
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,k2207
0,0.0,0.0,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,k2427
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,k402
0,0.0,0.1875,0.133333333,0.636643246,0.0909,0.0,0.0,0.0,0.075,0.0,k1241
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.05,0.0,k1953
0,0.04,0.0625,0.0667,0.793165721,0.0,0.0,0.0,0.0,0.1,0.0,k2194
0,0.0,0.1875,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,k3304
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,k3428
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,k1445
0,0.171805352,0.125,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.2,0.0,k1558
0,0.131970133,0.0625,0.0667,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,k3242
0,0.0785,0.3125,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.1,0.0,k1250
0,0.0785,0.1875,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.1,0.0,k3346
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,k115
0,0.04,0.0625,0.466666667,0.636643246,0.227272727,0.0,0.0,0.0,0.025,0.0,k407
0,0.0,0.0,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,k1064
0,0.0,0.1875,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,k1347
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,k1242
0,0.0622,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.15,0.0,k3118
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,k251
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,k1492
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,k2112
0,0.0479,0.0,0.0667,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,k1726
0,0.04,0.125,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.125,0.0,k2197
0,0.0917,0.0,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,k2384
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,k338
0,0.0,0.125,0.133333333,0.636643246,0.0,0.0,0.0714,0.0,0.125,0.0,k2344
0,0.0984,0.0625,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,k2240
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,k3013
0,0.113778514,0.1875,0.266666667,0.636643246,0.0,0.0206,0.0,0.0,0.3,0.0,k3369
0,0.0669,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,k3148
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,k1399
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,k2358
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,k3218
0,0.0,0.0,0.0667,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,k2095
0,0.0,0.1875,0.0,0.636643246,0.0,0.0,0.214285714,0.0,0.075,0.0,k3144
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,k531
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,k1626
0,0.0,0.1875,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,k2179
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,k1298
0,0.0,0.0625,0.266666667,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,k3249
0,0.0,0.0625,0.0667,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,k2266
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.05,0.0,k684
0,0.0785,0.1875,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.1,0.0,k2703
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,k1309
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,k3246
0,0.100124688,0.125,0.133333333,0.636643246,0.0,0.0,0.0714,0.0,0.1,0.0,k2310
0,0.0917,0.0625,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,k2818
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,k1476
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,k263
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.142857143,0.0,0.125,0.0,k2662
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,k1654
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,k2692
0,0.04,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,k1559
0,0.0,0.0,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,k441
0,0.0984,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,k2056
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,k985
0,0.0,0.0625,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,k1999
