Key_1_1,D553,D749,D335,D90,D193,D662,D813,D816,D54,D810,Key_2_4
k2240,0.0,0.0,0.0,0.419572869,0.043,0.0909,0.0,0.0,0.0,0.0,k830
k709,0.0,0.0,0.0,0.372826327,0.043,0.0909,0.0,0.0,0.0,0.0,k1487
k1956,0.0,0.0,0.0,0.323912379,0.043,0.0,0.0667,0.0,0.0551,0.0,k1229
k427,0.0,0.0,0.0,0.345747429,0.043,0.0,0.0,0.0,0.0694,0.0323,k2409
k1786,0.0,0.0,0.0,0.339970704,0.043,0.0455,0.0,0.0,0.218282361,0.0,k2029
k1056,0.0,0.0,0.0,0.344889007,0.043,0.0,0.0,0.0,0.0,0.0,k3179
k191,0.0,0.0,0.0,0.330498838,0.043,0.0,0.0,0.0,0.0263,0.0,k3338
k2471,0.0,0.0,0.0,0.37656424,0.043,0.0,0.0,0.0,0.0,0.0,k3364
k2775,0.0,0.0714,0.0,0.303444765,0.043,0.0455,0.0,0.0,0.0483,0.0645,k234
k3324,0.0,0.0,0.0,0.402852934,0.043,0.0,0.0,0.0,0.0263,0.0,k447
k208,0.0,0.0,0.0,0.372799439,0.043,0.0,0.0,0.0,0.0232,0.0,k566
k1131,0.0,0.0,0.0,0.401649438,0.043,0.0,0.0333,0.0,0.0288,0.0,k1377
k1750,0.0,0.0,0.0,0.349221482,0.043,0.0,0.0333,0.0,0.0211,0.0,k1858
k2429,0.0,0.0714,0.0,0.315908626,0.043,0.0,0.1,0.0,0.0459,0.129032258,k896
k1827,0.0,0.0,0.0,0.349388793,0.043,0.0,0.0,0.0,0.0624,0.0,k1978
k1930,0.0,0.0,0.0,0.343758336,0.043,0.136363636,0.0,0.0,0.140916598,0.0,k421
k1342,0.0,0.0,0.0,0.318056434,0.043,0.136363636,0.0,0.0,0.0,0.0,k1998
k2330,0.0,0.0,0.0,0.332005254,0.043,0.0,0.0,0.0,0.0766,0.0,k442
k1781,0.0,0.0,0.0,0.311357677,0.043,0.0,0.0,0.0,0.0211,0.0,k1606
k3253,0.0,0.0,0.0,0.309140552,0.043,0.0909,0.0,0.0,0.0,0.0,k1105
k49,0.0,0.0,0.0,0.349799334,0.043,0.0,0.0,0.0,0.131810514,0.0,k2920
k2726,0.0,0.0714,0.0769,0.334553838,0.043,0.0,0.0,0.0,0.0887,0.0645,k1297
k84,0.0,0.0,0.0,0.355224177,0.043,0.0,0.0,0.0,0.0665,0.0,k1839
k1441,0.0,0.0,0.0,0.292480788,0.043,0.0909,0.0,0.0,0.133859384,0.0,k2844
k515,0.0,0.0,0.0,0.350465551,0.043,0.0,0.0,0.0,0.0,0.0,k169
k365,0.0,0.0714,0.0,0.317438285,0.043,0.454545455,0.0,0.0,0.0,0.0,k3096
k2608,0.0,0.0,0.0,0.327999355,0.043,0.0,0.0,0.0,0.0527,0.161290323,k1327
k1196,0.0,0.0,0.0,0.331262499,0.043,0.0455,0.133333333,0.0,0.234920846,0.0,k353
k1824,0.0,0.0,0.0,0.321073391,0.043,0.0,0.0,0.0,0.0211,0.0323,k3162
k2932,0.0,0.0,0.0,0.366188017,0.043,0.0,0.0,0.0,0.0,0.0,k2455
k1616,0.0,0.0,0.0,0.30900061,0.043,0.0,0.0,0.0,0.0527,0.0,k2874
k2182,0.0,0.0,0.0,0.371169242,0.043,0.0,0.0,0.0,0.0,0.129032258,k1874
k2036,0.0,0.0,0.0,0.344813776,0.043,0.0,0.0,0.0,0.00865,0.0,k1455
k774,0.0,0.0,0.0,0.333483819,0.043,0.0,0.0,0.0,0.0423,0.0645,k883
k1941,0.0,0.0,0.0,0.345612301,0.043,0.0,0.0,0.0,0.0423,0.0645,k84
k1735,0.0,0.0,0.0,0.371261734,0.043,0.0,0.0,0.0,0.0,0.0,k1985
k236,0.0,0.0714,0.230769231,0.320945759,0.043,0.181818182,0.0,0.0,0.155905705,0.0,k1362
k347,0.0,0.0,0.0,0.356328785,0.043,0.0,0.0,0.0,0.0624,0.0,k1903
k1911,0.0,0.0,0.0,0.334895267,0.043,0.0,0.0,0.0,0.0195,0.0,k2251
k634,0.0,0.0,0.0,0.344240394,0.043,0.0,0.0,0.0,0.133859384,0.0,k3084
k2761,0.0,0.0,0.0,0.248776441,0.043,0.0,0.533333333,0.0,0.224914713,0.0,k338
k1555,0.0,0.0,0.0,0.366188017,0.043,0.0,0.0,0.0,0.0,0.0,k1199
k1970,0.0,0.0,0.0,0.362925835,0.043,0.0,0.0,0.0,0.0263,0.0,k2801
k1964,0.0,0.0,0.0,0.335777414,0.043,0.0,0.0,0.0,0.0527,0.0,k6
k2633,0.0,0.142857143,0.230769231,0.318146863,0.043,0.0,0.0,0.0,0.17901066,0.0,k2558
k192,0.0,0.0714,0.0,0.309502061,0.043,0.0,0.0,0.0,0.112802678,0.0968,k2398
k2420,0.0,0.0,0.0,0.355416106,0.043,0.0,0.0,0.0,0.0624,0.0,k554
k2655,0.0,0.0,0.0,0.411267502,0.043,0.0909,0.0,0.0,0.0,0.0,k1349
k3023,0.0,0.0714,0.0,0.324980953,0.043,0.0455,0.2,0.0,0.0696,0.0323,k346
k1127,0.0,0.0,0.0769,0.331371908,0.043,0.0,0.0333,0.0,0.0624,0.0,k1530
k1670,0.0,0.0,0.0,0.366188017,0.043,0.0,0.0,0.0,0.0,0.0,k3120
