Key_1_3,D39,D220,D418,D772,D157,D208,D192,D518,D195,D664,Key_2_10
k2451,0.546547489,0.0,0.0,0.0,0.0,0.936389149,0.104756118,0.0,0.0,0.0,k2445
k876,0.337843379,0.0,0.0,0.0,0.0,0.924851886,0.0,0.0,0.0,0.0,k2339
k2595,0.0751,0.0,0.0,0.0,0.111111111,0.552931088,0.0,0.0,0.793205071,0.0,k354
k2735,0.0,0.0,0.0,0.0,0.0,0.709489658,0.0,0.0,0.0,0.0,k2785
k3170,0.0,0.0,0.05,0.0,0.0,0.720013512,0.0,0.0,0.0,0.0,k747
k729,0.216548457,0.0,0.0,0.0,0.0,0.889122752,0.0,0.0,0.0,0.0,k1842
k1441,0.0,0.0,0.0,0.0,0.0,0.501403181,0.0,0.0,0.0,0.0,k536
k291,0.302543257,0.0,0.0,0.0,0.0,0.818547968,0.0,0.0,0.0,0.0,k903
k1462,0.262767054,0.0,0.0,0.0,0.0,0.710477081,0.0,0.0,0.0,0.037,k3124
k3139,0.112614459,0.0,0.0,0.0,0.0,0.632080865,0.0,0.0,0.0,0.0,k3421
k2338,0.133163794,0.0,0.0,0.0,0.0,0.575174098,0.0,0.0,0.0,0.0,k2765
k2885,0.183163794,0.0,0.0,0.0,0.0,0.575174098,0.0,0.0455,0.0,0.0,k637
k1261,0.150152604,0.807273223,0.0,0.0,0.111111111,0.346975366,0.0,0.0455,0.801712633,0.0,k124
k1573,0.0,0.0,0.0,0.0,0.111111111,0.479056231,0.0,0.0,0.808496441,0.0,k2509
k1899,0.0375,0.0,0.0,0.0,0.0,0.649906455,0.0,0.0,0.0,0.0,k803
k1019,0.282655155,0.0,0.25,0.0,0.0,0.865476562,0.0,0.0,0.0,0.148148148,k1174
k1760,0.0751,0.0,0.1,0.0,0.0,0.799449122,0.0,0.0,0.0,0.0741,k3215
k1248,0.397507668,0.0,0.0,0.0,0.0,0.774191872,0.0,0.0,0.0,0.0,k1999
k3288,0.0751,0.0,0.0,0.0,0.0,0.528895125,0.0,0.0,0.0,0.0,k1165
k567,0.0,0.0,0.15,0.0,0.0556,0.739813949,0.0,0.0,0.796875,0.0741,k709
k2321,0.0,0.0,0.05,0.0,0.0,0.721676541,0.0,0.0,0.0,0.0,k2237
k3082,0.0436,0.0,0.0,0.0,0.0,0.491736826,0.0,0.0,0.0,0.0,k2485
k1415,0.112614459,0.0,0.0,0.0,0.0,0.818781831,0.0,0.0,0.0,0.0,k2084
k2227,0.0,0.0,0.1,0.0,0.0,0.7729446,0.0,0.0909,0.0,0.0741,k2214
k1457,0.187690762,0.0,0.0,0.0,0.0,0.909598794,0.0,0.0,0.0,0.0,k1952
k1357,0.720182819,0.0,0.35,0.0,0.0556,0.673396736,0.0,0.0,0.845751779,0.222222222,k985
k2787,0.0,0.0,0.0,0.0,0.0,0.374883068,0.0,0.0,0.0,0.0,k564
k123,0.0562,0.0,0.15,0.0,0.0,0.546460867,0.0,0.0,0.0,0.0,k2461
k987,0.0,0.0,0.0,0.0,0.0,0.395229186,0.0,0.0,0.0,0.0,k1979
k3254,0.267255647,0.0,0.0,0.0,0.0,0.575174098,0.173091053,0.0,0.0,0.0,k1303
k1427,0.0,0.0,0.0,0.0,0.0,0.487891072,0.0,0.0,0.0,0.0,k770
k1107,0.209816909,0.0,0.0,0.0,0.222222222,0.575174098,0.0,0.0,0.729481762,0.0,k2013
k831,0.187690762,0.0,0.0,0.0,0.0,0.76405779,0.0,0.0,0.0,0.0,k3269
k3379,0.0,0.0,0.0,0.0,0.0,0.600379378,0.0,0.0,0.0,0.0,k419
k585,0.187690762,0.0,0.0,0.0,0.0,0.665081592,0.0,0.0,0.0,0.0,k1816
k3004,0.300305209,0.0,0.0,0.0,0.0,0.918381665,0.0,0.0,0.0,0.0,k1649
k1618,0.150152604,0.0,0.05,0.0,0.0,0.684492257,0.0,0.0,0.0,0.0741,k1027
k1901,0.0751,0.0,0.0,0.0,0.0,0.908533416,0.0,0.0,0.0,0.0,k2938
k733,0.112614459,0.0,0.0,0.0,0.0,0.713517306,0.0,0.0,0.0,0.0,k171
k2744,0.0751,0.0,0.0,0.0,0.0,0.59861241,0.0,0.0,0.0,0.0,k1799
k2558,0.0,0.0,0.0,0.173913043,0.0,0.211776323,0.0,0.0,0.0,0.0,k3425
k1719,0.324681919,0.0,0.0,0.0,0.0,0.575174098,0.186322274,0.0,0.0,0.0,k1416
k3169,0.112614459,0.0,0.0,0.0,0.0,0.597469078,0.0,0.0455,0.0,0.0,k2307
k1996,0.0,0.0,0.0,0.0,0.0,0.524633614,0.0,0.0,0.0,0.0,k2175
k2331,0.213248443,0.0,0.15,0.0,0.0,0.863579669,0.0,0.0,0.0,0.0,k1662
k450,0.11866735,0.0,0.0,0.0,0.0,0.565585698,0.0,0.0455,0.0,0.0,k888
k1497,0.0,0.0,0.05,0.0,0.0,0.745686519,0.0,0.0,0.0,0.0,k1385
k1469,0.300305209,0.0,0.0,0.0,0.0,0.950836711,0.0,0.0,0.0,0.0,k2274
k2655,0.0,0.0,0.05,0.0,0.0,0.536664588,0.0,0.0,0.0,0.0,k3090
k1627,0.0,0.0,0.0,0.0,0.0,0.710295188,0.0,0.0,0.0,0.0,k1742
k2635,0.15892414,0.0,0.0,0.0,0.0,0.575174098,0.0,0.0,0.0,0.0,k1668
k1527,0.0751,0.0,0.6,0.0,0.0,0.297993972,0.0,0.0,0.0,0.444444444,k102
k1422,0.0,0.644642952,0.0,0.0,0.0,0.575174098,0.0,0.0,0.0,0.0,k1549
k2070,0.187690762,0.0,0.0,0.0,0.0,0.814390396,0.0,0.0,0.0,0.0,k2303
k3182,0.187690762,0.0,0.0,0.0,0.0556,0.768163393,0.0,0.0,0.874388345,0.0,k2223
k965,0.0,0.0,0.0,0.0,0.0,0.772658767,0.0,0.0,0.0,0.0,k1811
k3,0.404239225,0.0,0.3,0.0,0.0,0.836581436,0.0,0.0,0.0,0.0,k2840
k106,0.0,0.0,0.05,0.0,0.0,0.575174098,0.0,0.0,0.0,0.0,k3078
k368,0.133627822,0.0,0.0,0.0,0.0,0.575174098,0.0919,0.0,0.0,0.0,k1326
k2973,0.375381518,0.0,0.0,0.0,0.111111111,0.780324291,0.0,0.0,0.749054715,0.037,k766
k2604,0.0906,0.0,0.0,0.0,0.0,0.463673215,0.0,0.0,0.0,0.0,k1926
k1308,0.0751,0.0,0.0,0.0,0.111111111,0.614255275,0.0,0.0,0.631227758,0.0,k2611
k1825,0.341070613,0.0,0.25,0.0,0.0,0.762446731,0.0,0.0,0.0,0.0741,k3151
k3348,0.337843379,0.0,0.15,0.0,0.0,0.707514811,0.0,0.0,0.0,0.0,k1504
k1911,0.124952781,0.0,0.0,0.0,0.0,0.674877871,0.0,0.0,0.0,0.0,k2652
k2287,0.300305209,0.0,0.1,0.0,0.0,0.705695874,0.0,0.0,0.0,0.037,k2466
k1006,0.44216687,0.0,0.0,0.0,0.111111111,0.575174098,0.0,0.0,0.68627669,0.0,k2680
k33,0.112614459,0.0,0.0,0.0,0.0,0.700706787,0.0,0.0,0.0,0.0,k1403
k3081,0.281671758,0.0,0.2,0.0,0.0556,0.679399231,0.0,0.0,0.881005338,0.148148148,k2780
k479,0.0375,0.0,0.0,0.0,0.0,0.758029311,0.0,0.0,0.0,0.0,k2512
k1460,0.22522892,0.0,0.0,0.0,0.0,0.646554412,0.0,0.0,0.0,0.0,k1367
k838,0.165689141,0.0,0.0,0.0,0.0,0.666796591,0.0,0.0,0.0,0.0,k291
