Key_2_5,D933,D421,D753,D763,D533,D589,D417,D856,D494,D123,Key_3_17
k3251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321
k614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416
k2045,0.0833,0.0,0.0769,0.0,0.0,0.0588,0.0,0.0,0.0,0.712798769,617
k1560,0.0,0.0,0.0,0.0,0.0,0.0,0.0417,0.0,0.0,0.0,2654
k2831,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,335
k66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1839
k1049,0.0833,0.0,0.0769,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,3040
k766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025
k932,0.0,0.0,0.0,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,1064
k530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1764
k2952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2896
k1948,0.0833,0.0,0.0,0.0,0.0,0.0294,0.0,0.0,0.0,0.0,1251
k306,0.0,0.0,0.0,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,1731
k403,0.333333333,0.0,0.153846154,0.0833,0.0,0.0,0.0,0.0,0.0,0.464656843,1262
k317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1780
k2999,0.0,0.0909,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.102533141,965
k2874,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,2343
k2640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1369
k2661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1790
k1321,0.0,0.0,0.0769,0.0,0.0,0.0,0.125,0.0,0.0,0.0,660
k1106,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,2648
