Key_2_8,D36,D890,D803,D703,D558,D69,D442,D545,D455,D74,Key_3_26
k1000,0.0,0.102564103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273460377,2154
k2294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236222248,797
k3139,0.242581421,0.0,0.0,0.0,0.0,0.120207683,0.0,0.0,0.0,0.116390173,2511
k404,0.0,0.0,0.0,0.0,0.0,0.0767,0.0,0.0,0.0,0.149922667,1650
k1767,0.0,0.0,0.0,0.0455,0.0,0.0865,0.0,0.0,0.0,0.199719527,2693
k522,0.0,0.0,0.0,0.0,0.0,0.0357,0.0,0.0,0.0,0.126726092,527
k3410,0.0958,0.102564103,0.0,0.0,0.0,0.09,0.0526,0.0,0.0,0.229107062,2365
k210,0.0,0.0,0.0,0.0,0.0,0.0376,0.0,0.0,0.0,0.204546378,636
k2675,0.16666667,0.0,0.0,0.0,0.0,0.0674,0.0263,0.0,0.0,0.229147631,20
k1588,0.0759,0.0,0.0,0.0,0.0,0.0663,0.0,0.0,0.0,0.179525033,1901
k2511,0.0,0.0,0.0,0.0,0.0,0.102188102,0.0,0.0,0.0,0.193363862,3111
k643,0.16666667,0.0,0.0,0.0,0.0,0.10989631,0.0,0.0,0.0476,0.165150777,2895
k1361,0.0,0.0,0.0,0.0,0.0,0.0832,0.0263,0.0,0.0714,0.202797659,1649
k1244,0.0,0.0,0.0,0.0909,0.0,0.127351876,0.0526,0.0,0.0,0.12630599,2636
k2717,0.0,0.0,0.0,0.0,0.0,0.0479,0.0,0.0,0.0,0.126023747,1422
k39,0.0,0.0513,0.0,0.0,0.0,0.0581,0.0,0.0,0.0,0.38258716,600
k2316,0.0,0.0,0.0,0.0,0.0,0.0404,0.0,0.0,0.0,0.265615755,2107
k2687,0.0,0.0,0.0,0.0,0.0,0.0467,0.0,0.0,0.0,0.246217895,3178
k1469,0.0,0.0,0.0,0.0,0.0,0.0965,0.0,0.0,0.0,0.190166885,3044
k1640,0.0,0.0,0.0179,0.0,0.0,0.0651,0.0,0.0,0.0,0.233860043,2576
k1792,0.0,0.0,0.0,0.0,0.0,0.082,0.0,0.0,0.0,0.167963826,2495
k3121,0.0958,0.0,0.0,0.0909,0.0,0.14153905,0.0789,0.0,0.0,0.0863,435
k2322,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0926,1179
k820,0.0,0.0,0.0179,0.0909,0.0,0.129058386,0.0,0.0,0.0,0.256976788,460
k2115,0.0,0.0,0.0,0.0,0.0,0.0181,0.0,0.0,0.0,0.143310892,377
k1895,0.0,0.153846154,0.0,0.0,0.0,0.0688,0.0,0.0,0.0,0.400586649,3229
k599,0.0,0.0,0.0,0.0,0.0,0.161785768,0.0,0.0,0.0,0.0835,3039
k2631,0.242581421,0.0,0.0,0.0909,0.0833,0.156102224,0.0,0.0,0.0,0.130373288,2291
k2415,0.0,0.0,0.0,0.0,0.0,0.155060964,0.0263,0.0,0.0,0.127852512,1919
k1538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0942,2462
k1708,0.151829477,0.0,0.0,0.181818182,0.0,0.207789197,0.0,0.0,0.0,0.144827353,1129
k2997,0.0,0.0,0.0,0.0,0.0,0.0786,0.0,0.0,0.0,0.173087399,1684
k884,0.0,0.0,0.0,0.0,0.0,0.0848,0.0,0.0,0.0,0.0877,1381
k2380,0.0,0.0,0.0,0.0,0.0,0.19989299,0.0,0.0,0.0,0.10675741,2197
k171,0.0,0.0,0.0,0.0,0.0,0.087,0.0,0.0,0.0,0.153335597,3123
k745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214382352,696
k3257,0.146735246,0.0,0.0,0.0,0.0,0.0841,0.0526,0.0,0.0,0.267863521,2360
k1516,0.0,0.0,0.0,0.0,0.0,0.0186,0.0,0.0,0.0,0.151030634,461
k2393,0.0,0.0,0.0,0.0,0.0,0.0586,0.0263,0.0,0.0,0.141411529,2531
k1570,0.0,0.0,0.0,0.0,0.0,0.101681926,0.0,0.0,0.0,0.147726582,832
k102,0.151829477,0.0,0.0,0.0,0.0,0.414985498,0.0,0.0,0.0,0.152252477,1066
k723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145518651,469
