Key_1_1,D80,D698,D768,D938,D519,D216,D167,D247,D71,D424,Key_2_5
k2240,0.126514909,0.0,0.0,0.0,0.0,0.0498,0.0,0.0,0.0,0.0,k3251
k709,0.0549,0.0,0.0,0.0,0.0,0.0498,0.0,0.0,0.0,0.0,k614
k1956,0.000778,0.0,0.0,0.0769,0.0,0.0498,0.153846154,0.0,0.0,0.0,k2045
k427,0.00157,0.0,0.0,0.0,0.0,0.0498,0.0,0.0,0.045,0.0,k1560
k1786,0.0199,0.0,0.0,0.0,0.0,0.0498,0.0769,0.0,0.136949875,0.0,k2831
k1056,0.000891,0.0,0.0,0.0,0.0,0.0498,0.0,0.0,0.16974216,0.0,k66
k191,0.0178,0.0,0.0,0.0,0.0,0.509432243,0.0769,0.0,0.0,0.0,k1049
k2471,0.0326,0.0,0.0,0.0,0.0,0.0498,0.0,0.0,0.0,0.0,k766
k2775,0.0139,0.0417,0.0,0.0,0.0,0.273854005,0.153846154,0.0,0.14904401,0.0,k932
k3324,0.0962,0.0,0.0,0.0,0.0,0.0498,0.0769,0.0,0.0,0.0,k530
k208,0.0,0.0,0.0,0.0,0.0,0.48138613,0.0,0.0,0.344785195,0.0,k2952
k1131,0.0666,0.0,0.0,0.0,0.0,0.0498,0.0769,0.0,0.0883,0.0,k1948
k1750,0.0779,0.0,0.0,0.0769,0.0455,0.0498,0.0769,0.0,0.0745,0.0,k306
k2429,0.00317,0.0,0.0667,0.0769,0.0,0.0498,0.153846154,0.0,0.0745,0.0,k403
k1827,0.000863,0.0,0.0,0.0,0.0,0.0498,0.0,0.0,0.0312,0.0,k317
k1930,0.101078639,0.0,0.0,0.0,0.0,0.596464048,0.0,0.0,0.0312,0.0,k2999
k1342,0.0105,0.0,0.0,0.0,0.0,0.518499954,0.0,0.0,0.103498023,0.0,k2874
k2330,0.0148,0.0,0.0,0.0,0.0,0.0498,0.0,0.0,0.0,0.0,k2640
k1781,0.00845,0.0,0.0333,0.0,0.0,0.0498,0.0769,0.0,0.0883,0.0,k2661
k3253,0.00996,0.0,0.0,0.0,0.0,0.511642213,0.0769,0.0,0.178020028,0.0,k1321
k49,0.0155,0.0,0.0,0.0,0.0,0.0498,0.0,0.0,0.0624,0.0,k1106
