Key_2_11,D741,D56,D11,D2,D311,D162,D70,D194,D449,D43,Key_3_36
k1150,0.0,0.0,0.0409,0.437475431,0.0,0.0417,0.702974583,0.0,0.0,0.0,1030
k3063,0.0,0.0,0.0,0.384300706,0.0,0.0417,0.666930572,0.0,0.0,0.0,2380
k702,0.0,0.227943989,0.228110605,0.671014807,0.2,0.0833,0.5694092,0.823313376,0.125,0.233306334,3395
k479,0.0217,0.0,0.076,0.630179114,0.0,0.0833,0.5694092,0.0,0.0,0.0327,2120
k2511,0.0652,0.0,0.0507,0.614132745,0.0,0.0833,0.656893288,0.0,0.0,0.0952,1270
k2558,0.0,0.0551,0.290322588,0.569671938,0.0,0.0417,0.517375509,0.0,0.0,0.0,2708
k1649,0.0,0.376862168,0.319354849,0.741078851,0.0,0.0833,0.646366212,0.0,0.0,0.0123,2312
k480,0.0435,0.0,0.056,0.453863513,0.0,0.25,0.635299093,0.0,0.0,0.0,713
k1330,0.0435,0.0,0.202764976,0.582473908,0.0,0.125,0.656893288,0.0,0.0,0.133279319,3380
k487,0.0435,0.152126484,0.0484,0.560479996,0.0,0.291666667,0.666930572,0.0,0.0,0.16666667,540
k359,0.087,0.0,0.290322588,0.675912747,0.0,0.0,0.517375509,0.0,0.0,0.0,1063
k832,0.0,0.0,0.0,0.541131703,0.0,0.0,0.666930572,0.79510524,0.125,0.0666,955
k601,0.0,0.0,0.0,0.634524115,0.0,0.208333333,0.711117512,0.814610209,0.125,0.0666,2410
k3273,0.0652,0.207199573,0.283870982,0.693239915,0.0,0.0833,0.584295238,0.0,0.0,0.0789,3332
k611,0.0,0.0,0.0,0.583543677,0.0,0.0417,0.536149276,0.797296463,0.0,0.0279,267
k304,0.217391304,0.277587103,0.274713833,0.55103048,0.0,0.166666667,0.740925167,0.0,0.0,0.0286,990
k2875,0.0435,0.0,0.168081487,0.521209524,0.0,0.166666667,0.635299093,0.0,0.0,0.0,2086
k1445,0.0435,0.0,0.112054332,0.507393747,0.0,0.166666667,0.635299093,0.80035183,0.0,0.0,3164
k3201,0.0,0.0,0.168081487,0.558634221,0.0,0.208333333,0.635299093,0.827911857,0.0,0.0666,2365
