Key_1_2,V16,V10,V25,V21
k41622,0.884162,137.861,0.74796,7.14692
k4741,-0.311475,144.219,-1.2789,8.3072
k41015,1.2139,84.4168,-0.0285853,19.7019
k5463,0.449566,165.781,0.156257,-8.78364
k24914,-0.113492,216.489,-0.342658,-3.75773
k23264,1.02346,110.629,-0.250629,16.7702
k275,-0.880505,131.924,-1.21284,9.95156
k33824,0.0485587,144.057,-0.390544,4.30537
k41564,-11.4229,199.205,-18.8092,-2.30415
k41390,0.913719,81.6482,0.0403914,5.49892
k13909,2.7995,64.574,1.15419,-1.12039
k36129,0.0953561,76.1526,-0.631392,22.7747
k26074,0.882247,73.8623,0.291699,17.9708
k32155,-0.176159,109.626,-0.941083,-10.1254
k48359,0.85398,39.8053,-0.30861,-3.99818
k16820,0.35814,80.7924,-0.415091,2.7075
k31671,-0.180666,179.788,-0.169118,-6.35535
k46733,-3.13034,236.137,-3.29772,3.56998
k26007,0.648999,84.7434,0.0579544,-4.39385
k21382,-0.216688,175.313,-0.42862,1.79948
k45689,0.0114006,127.483,-0.927819,0.999647
k29702,-0.111141,121.493,-1.53124,12.833
k12967,0.630027,139.681,-0.512011,37.0865
k34248,3.74147,33.3203,1.97928,-2.25248
k27195,0.620719,89.5742,0.0958754,-23.5791
k32667,0.655186,112.412,0.188068,7.95765
k25823,-0.0155957,143.249,-1.23413,-3.48595
k33895,0.391884,195.157,-0.236551,0.569453
k20154,0.729028,97.104,0.174787,0.646555
k13147,-1.67605,244.205,-4.07575,-1.32527
k35222,-0.328562,219.763,-0.39773,-1.64999
k10470,0.429637,166.33,-0.0471284,4.09693
k9401,0.16771,152.95,-0.836059,-3.90103
k23646,0.60176,171.396,0.233076,-11.4579
k7223,-0.508477,169.169,-0.469349,4.34214
k30508,2.31356,70.2753,-0.568197,-28.5616
k55199,-1.09863,187.636,-0.393632,11.1145
k30303,1.65019,38.2625,0.581387,10.9225
k23628,0.43369,96.3563,-0.396698,40.5454
k54512,1.18234,93.6483,0.72006,-16.6254
k36784,-0.872632,203.892,-0.304216,-0.618065
k232,0.663532,79.8429,0.110122,21.3296
k20754,0.571273,82.1817,0.373848,-22.0681
k22839,-1.08172,195.811,-1.59895,8.8207
k5587,-0.769527,235.863,-0.945812,-1.11025
k23817,0.604518,38.6524,-0.0485641,17.7797
k43953,-0.321339,183.787,-0.855123,-4.85322
k2085,0.870383,94.3088,0.343166,6.40684
k33332,0.887954,100.3,0.512474,12.182
k17480,-3.36704,254.676,-8.12292,0.439288
k16890,-1.87661,238.257,-0.758058,12.8059
k24915,0.0437853,115.834,-0.093864,-1.58269
k1506,-4.49563,249.14,-15.5403,-0.456515
k10601,1.03066,67.5611,-0.0868497,-2.23126
k294,1.11654,100.715,0.636551,-1.88328
k32,1.07592,52.4873,-0.183558,18.2572
