Key_1_1,V28,V30,V51,V52
k32091,25.4022,8.0118,11.7019,10.3183
k4840,69.2633,-1.62819,35.7273,4.20547
k4803,75.4763,0.296936,31.3044,23.0291
k33958,48.3999,-15.861,53.8878,12.5386
k93,43.1454,0.587909,61.9557,13.3482
k19078,83.3017,-2.86839,13.9611,18.0517
k40687,81.7391,0.197902,68.8685,6.75223
k27820,71.4087,11.9074,35.2203,12.4474
k1451,72.8739,2.08711,41.0777,23.078
k48568,86.6825,-0.0252344,33.6462,11.5682
k27662,71.5979,-1.09244,67.1366,4.15128
k35386,85.9997,-0.0938541,21.3376,9.79066
k9465,29.3033,-6.25817,25.9793,19.136
k28913,52.24,0.0326827,20.1672,21.2315
k27836,67.3661,1.29217,21.6913,7.7707
k12805,81.3792,2.66544,61.1263,11.8698
k6856,86.3222,-11.8635,57.7726,3.24252
k50173,88.1833,-0.584449,35.2165,19.6026
k41078,80.3029,-3.83308,25.7466,10.6027
k3738,77.9435,-14.0669,24.1403,17.0293
k54541,77.5713,6.23154,30.5912,1.84259
k56894,40.1463,5.63165,29.8844,9.26614
k37368,74.7876,0.368755,46.2691,14.1891
k19386,71.8591,-2.42918,47.3752,19.1542
k46962,64.9102,0.289597,84.7256,3.96452
k5454,82.0731,2.02255,52.5837,14.0937
k55967,61.1037,1.85554,56.8661,4.39767
k9963,50.3839,5.55718,28.3534,17.6032
k17580,85.5039,-4.41584,14.8146,14.0239
k35395,97.2285,-9.21546,16.5202,6.20513
k43703,60.8389,-0.19326,38.3347,11.4198
k5913,69.7112,-6.46829,47.1256,15.3817
k33863,66.4093,-2.56065,45.3751,10.7247
k44032,52.7252,0.173811,23.7987,3.83742
k29106,29.3718,2.15845,27.6439,4.80773
k6718,96.662,9.89343,78.1601,6.35551
k28540,79.9231,-6.42871,44.7524,5.13237
k12059,60.8091,0.00844721,38.7992,10.8303
k45859,79.1801,9.35751,27.4268,13.7545
k30289,55.4212,2.78411,24.7271,3.58214
k33205,52.5008,3.22286,23.1852,15.9994
k26287,74.7389,1.28475,35.2199,17.4573
k10224,56.563,0.286395,48.452,16.1821
k25056,54.8097,-3.62993,44.3839,12.3028
k18888,71.0984,2.40608,64.4327,2.1059
k4941,55.5439,-1.31905,35.3017,19.0259
k32134,92.6857,-5.87647,60.3282,2.5602
k35439,71.3723,1.11474,51.8932,15.7869
k15127,45.7451,-2.71913,49.5488,18.9839
k27659,56.3029,3.91943,38.739,16.6759
k33113,31.2717,-4.07203,26.8961,6.84172
k25520,39.2505,0.698745,5.90229,4.23169
k331,43.4351,-1.98497,33.3187,14.0929
k23220,72.719,2.58348,60.4534,19.4014
k15606,63.137,2.50779,25.4829,3.99895
k44272,39.4065,-2.30712,46.7749,12.8546
k45474,75.129,6.38494,6.25852,2.46896
k44525,97.1253,1.4683,51.4307,5.79206
k152,71.738,0.0086898,29.3196,3.0007
k34655,72.9532,0.630394,43.5878,6.51234
k47499,82.6599,3.9076,29.8698,1.06673
k28993,54.7919,1.3885,90.1108,8.59573
k57475,75.8818,-3.89005,35.682,9.99917
k31188,68.838,-3.21994,42.0453,10.1419
k49676,36.2229,-5.75863,18.7573,11.2804
k20155,63.8241,-0.179453,23.4044,5.21238
k37728,88.603,3.72391,32.6637,12.3412
k53384,44.3063,-0.192229,63.3436,9.49615
k49752,49.6302,0.347555,40.4492,5.96217
k54117,39.3062,0.608491,21.3331,9.75117
k50965,79.63,18.8753,17.3951,13.8334
k27593,75.0605,-0.281456,68.7569,1.30108
k38840,76.7851,-1.32919,47.1133,13.6174
k54227,81.7613,-0.000754902,77.5074,7.18447
k54701,70.1834,0.486839,31.4238,15.6842
k5550,85.0426,5.58316,55.1666,12.5585
k42228,70.8487,-1.3768,29.9205,4.8543
k48044,68.2634,2.22658,8.6875,21.9342
k19177,68.6851,5.60047,16.1656,12.3848
k11006,70.7728,-3.27783,2.08844,11.779
k13784,63.2865,3.89093,64.6979,0.354386
k23777,89.5336,3.18292,10.9775,4.29614
k53582,65.2101,-0.373343,40.0093,6.90888
k47166,61.4625,3.35923,22.0346,20.4994
k47058,77.3488,-0.00623337,31.6592,11.3643
k19124,67.0139,4.82702,40.2101,13.6915
k38026,91.9819,7.55465,44.0731,3.7651
k53932,75.0392,6.66535,14.1076,3.98605
k38814,49.263,10.1808,31.6417,1.95383
k29889,80.3558,-3.13956,36.0358,12.7786
k49520,58.3851,-0.0243307,26.0289,11.1238
k53713,79.4,-0.21492,40.6923,15.9563
k19450,67.8734,-11.6853,12.5071,12.0603
k42118,45.1892,0.121443,67.6807,9.27396
k27186,78.5157,-0.0856689,56.7684,19.0581
k14186,41.0666,1.50893,44.9683,2.45234
k39272,76.7728,-0.96347,0.456165,2.51884
k18967,53.2486,7.12714,42.4614,9.53152
k8225,59.2863,1.60638,53.6054,22.4434
k1245,61.3802,-9.48744,25.4278,5.94601
k44209,97.537,6.0559,49.5358,16.3642
k7711,70.2953,-1.81388,33.7444,11.9213
