Key_1_3,V11,V12,V23,V20
k56827,130.003,111.708,3.02276,-0.70509
k44736,129.51,112.789,3.08837,1.60427
k29413,90.2718,58.9556,5.94926,-7.99037
k14440,194.709,223.612,0.5687,-2.413
k13832,226.657,241.051,0.392728,-0.394904
k8299,109.768,71.0942,2.1556,-5.31928
k33210,114.853,92.6944,0.509939,1.29662
k49031,145.635,134.151,2.55785,-2.13586
k41374,215.019,221.027,0.353624,-2.07536
k35806,78.6231,67.5989,3.00578,-0.785745
k47528,67.0458,69.4913,1.40429,-0.531029
k23304,93.6602,46.6296,4.03397,-13.624
k22462,87.6135,49.9394,4.84577,-11.4843
k32879,103.711,133.821,0.811922,5.60679
k39612,54.3059,58.0831,1.80812,-5.51727
k55794,81.5233,75.8668,1.53434,-1.02423
k17124,183.674,208.007,0.395411,1.61522
k11122,231.696,218.051,1.56077,-0.495801
k20182,103.811,111.84,1.60749,-4.22709
k33387,155.847,153.935,2.47423,4.06255
k53009,129.173,126.808,3.21626,-0.847021
k22066,151.427,106.911,3.62123,-11.7847
k39221,134.952,52.7399,5.19547,-9.29636
k24261,28.1496,30.9924,4.05946,5.65569
k40678,147.725,220.438,0.736873,-4.23631
k2007,114.815,93.2482,2.41774,-3.48869
k14544,147.863,157.542,1.0479,0.151166
k29639,192.629,191.071,0.507568,0.293876
k45157,95.842,94.9731,1.35822,0.210171
k18313,246.228,251.957,0.287565,0.151509
k11873,225.208,230.778,0.636698,-0.389874
k18225,135.58,129.359,3.20479,5.8476
k54978,165.732,176.756,0.969559,-1.34849
k5428,203.097,243.202,0.905356,-1.81608
k27975,153.564,142.815,0.669647,1.97291
k49566,108.58,190.794,1.51481,1.38594
k52636,157.78,128.864,1.63159,2.79952
k15589,37.7158,25.8175,5.82366,-3.57228
k21354,113.254,34.6466,4.53003,-17.0039
k37294,125.556,170.624,0.722374,-1.89799
k52119,209.167,210.464,0.717525,-0.770386
k26733,68.1767,37.0696,3.84583,-1.4221
k39246,120.407,182.473,1.0777,-1.25058
k46268,161.209,139.64,0.924706,4.40155
k45141,238.173,242.656,0.295825,0.00325223
k36280,23.8093,12.3358,3.28493,5.67968
k57519,203.55,218.863,1.18832,-2.01951
k1860,96.837,83.4406,2.81883,-2.73027
k4955,88.6792,68.2864,2.52463,0.265429
k21831,254.782,252.666,0.137065,-0.178407
k48106,207.377,165.175,2.48599,1.48405
k14130,118.277,122.03,0.716263,-0.0784037
k15971,252.694,253.978,0.693639,-0.423971
k40903,83.8615,86.5236,3.47879,-4.97457
k4791,116.607,119.904,1.43561,-3.49094
k51220,70.2415,38.503,4.70652,-14.5172
k2215,195.642,183.796,2.12898,-0.578412
k27751,141.489,87.5994,1.3906,1.25819
k55361,59.8913,107.921,0.857475,1.87942
k276,107.405,81.1181,2.54757,-5.43038
k26137,145.433,144.649,13.348,4.91767
k12653,205.071,226.09,0.605586,0.58627
k54872,211.008,219.55,0.411995,-0.352272
k25475,198.39,210.448,0.950532,-0.213532
k48423,122.086,128.948,1.45591,0.140261
k22521,135.402,115.156,2.99155,-6.43824
k39789,72.7909,55.5209,1.6084,2.14143
k22211,243.06,232.141,0.647715,-0.294696
k50544,59.0443,38.8702,5.36603,-3.83358
k3626,119.732,88.5162,4.95291,-6.83795
k37902,112.673,104.237,3.95031,4.02185
k54977,170.434,183.291,1.81986,-7.38059
k14201,146.783,151.475,0.964892,2.36581
k55755,163.139,184.753,0.961127,-0.822823
k21852,116.064,98.8561,3.08238,1.75276
k44822,114.951,73.6421,3.52596,-5.32164
k16307,86.5653,76.3466,1.30831,0.520504
k37570,214.687,245.928,1.47934,-1.51445
k4294,134.707,54.2654,3.6817,-11.8907
k46712,250.588,250.959,0.433747,-0.0768809
k25752,139.877,178.079,0.754768,-4.66162
k35659,76.2762,63.4633,2.79312,5.44181
k39201,109.957,90.9435,0.786943,0.448102
k11219,133.171,78.6107,1.46213,-2.98129
k18358,97.4236,93.536,12.1983,3.90288
k35854,184.597,133.692,1.11526,-3.06686
k48097,59.8964,33.1803,6.34289,-4.28857
k15011,166.253,180.351,0.93394,-2.69832
