Key_1_3,V8,V24,V1,V19
k56827,0.0379236,4.24676,0.0674479,76.2393
k44736,0.0467352,5.52069,0.0782581,74.7149
k29413,0.0455761,15.6678,0.0454572,62.2058
k14440,0.0309492,2.29019,0.162303,89.2273
k13832,0.0820915,0.289982,0.0249023,95.347
k8299,0.0273886,3.86252,0.165232,70.5319
k33210,0.0543135,1.08523,0.155561,73.299
k49031,0.0375253,3.56386,0.143113,77.8411
k41374,0.0665334,0.629998,0.0318345,93.0725
k35806,0.0295363,4.75362,0.424971,60.8375
k47528,0.0247753,3.27468,0.296881,56.7284
k23304,0.0175662,7.53491,0.445735,63.8039
k22462,0.0466286,9.40483,0.0759549,60.0917
k32879,0.0192523,1.54855,0.381748,70.4646
k39612,0.028883,3.89576,0.344421,51.5601
k55794,0.0546657,1.91667,0.0560012,61.5631
k17124,0.0941456,0.927573,0.0146296,88.1341
k11122,0.0475031,3.50903,0.0784549,96.0833
k20182,0.0181165,9.59116,0.398015,68.0667
k33387,0.0387075,1.69198,0.0841724,82.2523
k53009,0.0287197,4.04065,0.348999,74.9108
k22066,0.0262289,7.85745,0.18754,79.0082
k39221,0.0812989,14.0617,0.0549349,76.1702
k24261,0.0543516,3.93671,0.0378516,37.3667
k40678,0.027256,1.68101,0.248629,79.0464
k2007,0.0301494,5.66643,0.0833044,71.0433
k14544,0.0189542,5.03834,0.657043,79.903
k29639,0.086,1.56956,0.0115741,89.7134
k45157,0.0762186,2.92235,0.0606655,65.6905
k18313,0.0375364,0.534392,0.18886,98.6483
k11873,0.0562672,2.4518,0.111591,95.04
k18225,0.033338,5.17551,0.166643,79.0213
k54978,0.0430365,2.04625,0.067772,83.8663
k5428,0.0271813,6.40392,0.242286,90.5976
k27975,0.0284076,1.45803,0.243235,82.4694
k49566,0.0624686,5.95729,0.172772,70.4213
k52636,0.0215219,5.90549,0.247917,83.6339
k15589,0.0386629,10.7294,0.299508,37.5917
k21354,0.0285733,12.0279,0.178432,69.0664
k37294,0.0332307,3.61155,0.135313,74.4692
k52119,0.0297051,0.910029,0.338835,92.3661
k26733,0.0549207,7.54621,0.0339294,56.7812
k39246,0.022466,2.23044,0.232604,73.2282
k46268,0.0465448,1.65721,0.125949,84.6401
k45141,0.0229117,0.483325,0.30739,97.3312
k36280,0.0402276,6.98345,0.103721,37.6548
k57519,0.0192218,1.70504,0.348861,91.0191
k1860,0.0122001,5.87779,0.618067,66.0385
k4955,0.0359078,8.65859,0.100405,62.5784
k21831,0.141307,0.182729,0.0213368,99.9403
k48106,0.0317765,6.80949,0.114734,92.7556
k14130,0.0219103,2.11836,0.254352,73.6717
k15971,0.0447881,0.787219,0.217072,99.536
k40903,0.0214646,5.7343,0.274462,61.6276
k4791,0.025637,4.30944,0.111736,70.7904
k51220,0.0392828,6.3257,0.0574537,55.5662
k2215,0.0487517,5.59488,0.112888,88.8423
k27751,0.0258945,3.96263,0.383947,79.3829
k55361,0.0255083,0.976119,0.280637,55.0907
k276,0.0524187,6.6886,0.0372049,69.161
k26137,0.0545973,9.77392,0.0385822,78.1485
k12653,0.0235474,2.10352,0.328582,91.7472
k54872,0.0567488,0.902964,0.106157,92.7637
k25475,0.0709327,3.87156,0.0383449,90.3591
k48423,0.030373,4.50128,0.223113,73.6404
k22521,0.0381811,4.85841,0.110341,75.831
k39789,0.145754,3.82098,0.00456597,60.0858
k22211,0.0362226,2.24965,0.103686,98.0941
k50544,0.0317972,9.17817,0.107743,52.2489
k3626,0.0506261,9.24505,0.0859606,70.0037
k37902,0.11292,6.26699,0.0163484,71.8025
k54977,0.144057,2.60293,0.0130961,83.4315
k14201,0.0350412,3.42024,0.202969,80.617
k55755,0.0581083,3.7891,0.0366493,82.3455
k21852,0.0161643,9.24696,0.516256,71.5575
k44822,0.0363432,7.22177,0.0515914,71.6177
k16307,0.0482658,3.67027,0.317793,63.9931
k37570,0.0287256,3.48736,0.372095,92.8499
k4294,0.073202,6.89035,0.0361285,75.7555
k46712,0.117894,0.738299,0.0303356,99.301
k25752,0.0154904,1.55962,0.498368,77.3828
k35659,0.0273486,3.59006,0.304497,60.6216
k39201,0.0184675,1.14756,0.427975,71.8752
k11219,0.024301,4.24784,0.153362,77.0675
k18358,0.030126,8.77206,0.107957,65.1584
k35854,0.110062,4.37559,0.0361748,87.2774
k48097,0.0254503,8.27801,0.160307,53.6995
k15011,0.0162141,5.00303,0.461134,83.7219
k14736,0.0140023,6.73442,0.960075,72.0904
k1034,0.041441,0.460454,0.171869,92.7189
k37786,0.0969108,4.37584,0.0232292,75.7323
k9230,0.0305363,3.52183,0.572141,67.3213
k35197,0.0385699,10.3002,0.0657176,84.0167
k49888,0.0736718,1.72592,0.0197164,90.9121
k8310,0.072376,2.5483,0.0505534,36.8645
k46892,0.0407411,0.857268,0.203976,91.9942
k50232,0.137506,3.6748,0.0126678,73.7249
k54769,0.0449238,3.0616,0.0584838,69.5103
k4305,0.0743007,7.9658,0.0397222,61.3531
k2260,0.027069,10.296,0.257188,43.7496
k1809,0.0168344,6.60778,0.539363,65.0152
k43366,0.0305993,3.69936,0.123119,64.4098
k48466,0.0453083,6.01006,0.076875,60.6541
k29772,0.0922244,15.052,0.0811979,69.9136
k21215,0.0637083,2.33555,0.115544,70.4212
k33268,0.090711,1.46207,0.0212442,95.7357
k24325,0.100311,17.5199,0.0260764,69.4808
k40533,0.0440225,6.07693,0.0554745,87.7957
k20677,0.0496602,10.4229,0.055353,74.5655
k19858,0.0516612,1.61317,0.130306,87.5225
k31966,0.0530829,3.36798,0.141725,78.7769
k5763,0.136038,4.68654,0.00484954,65.7999
k5735,0.0207917,4.1183,0.417222,80.2786
k51458,0.0223595,0.664255,0.439213,85.3357
k4992,0.0804309,3.2652,0.0483507,73.2207
k3527,0.0450785,1.78481,0.158802,89.2219
k7495,0.0868756,8.42774,0.0590856,55.7955
k15846,0.0219169,4.64529,0.316325,56.2501
