Key_1_2,V9,V27,V7,V3
k41622,0.439663,-1.00407,0.343834,0.444444
k4741,0.406496,3.01398,0.597466,0.602778
k41015,0.477657,0.424549,0.197057,0.286111
k5463,0.038203,0.300992,0.16267,0.16875
k24914,0.469119,0.488899,0.153687,0.171875
k23264,0.359935,0.114596,0.229436,0.283333
k275,0.622882,-0.0559532,0.489542,0.4125
k33824,0.588108,0.50924,0.409015,0.422222
k41564,0.300572,1.04249,0.13127,0.152778
k41390,0.194792,0.788698,0.483452,0.527778
k13909,0.396175,0.817508,0.381149,0.491667
k36129,0.150981,0.745986,0.451389,0.525
k26074,0.512589,0.412648,0.4009,0.425
k32155,0.191593,-0.5407,0.408651,0.472222
k48359,0.401006,1.27985,0.561707,0.575
k16820,0.36826,1.89131,0.541977,0.616667
k31671,0.594872,-0.184935,0.110356,0.125
k46733,0.557322,0.76852,0.494523,0.510417
k26007,0.018593,-0.293242,0.398143,0.405556
k21382,0.271876,-0.201405,0.534029,0.630556
k45689,0.398854,0.29753,0.522007,0.580556
k29702,0.499892,-0.141438,0.914375,1.0
k12967,0.645998,-0.45204,0.332457,0.315625
k34248,0.389286,-0.182113,0.274702,0.35
k27195,0.276717,0.784378,0.324319,0.34375
k32667,0.337735,-0.263496,0.338252,0.397222
k25823,0.342957,-0.182935,0.833906,1.0
k33895,0.224806,1.19446,0.109499,0.119444
k20154,0.658167,-0.00258714,0.857418,0.936111
k13147,0.569504,0.672672,0.393092,0.511111
k35222,0.471409,-2.03221,0.148973,0.211111
k10470,0.374707,0.234434,0.276499,0.322222
k9401,0.313218,2.04551,0.146226,0.175
k23646,0.285058,0.482057,0.297678,0.338889
k7223,0.293834,-1.34322,0.267815,0.344444
k30508,0.769637,2.80933,0.457207,0.75
k55199,0.227273,-4.04035,0.262294,0.320833
k30303,0.59158,0.708239,0.567295,0.733333
k23628,0.127607,0.124871,0.729355,0.74375
k54512,0.381429,0.811259,0.182779,0.21875
k36784,0.473655,-1.05327,0.466128,0.64375
k232,0.302024,1.05577,0.180031,0.194444
k20754,0.240476,0.894956,0.260732,0.30625
k22839,0.576246,0.683079,0.240246,0.297222
k5587,0.220701,0.362034,0.365378,0.394444
k23817,0.541283,0.909516,0.58437,0.616667
k43953,0.322052,-0.207069,0.451211,0.514583
k2085,0.0982607,0.202916,0.633114,0.685417
k33332,0.521208,0.73532,0.555796,0.713889
k17480,0.678833,0.644316,0.0823956,0.0972222
k16890,0.205052,-0.167724,0.212293,0.238889
k24915,0.0888889,-0.103242,0.256607,0.279167
k1506,0.660604,-1.461,0.415031,0.639583
k10601,0.196697,0.612977,1.02317,1.0
k294,0.131991,0.467073,0.343332,0.372222
k32,0.322968,1.42181,0.226263,0.261111
k1721,0.632809,2.28473,0.858573,0.885417
k25292,0.335477,2.87892,0.494895,0.577778
k775,0.278363,4.1164,0.309078,0.388889
k34516,0.383841,0.00730664,0.185882,0.205556
k5929,0.61148,1.14577,0.203283,0.25
k42654,0.408552,-1.09187,0.44353,0.555556
k43102,0.341092,0.620583,0.137865,0.161111
k31536,0.386481,-0.793352,0.203119,0.208333
k3915,0.548759,0.123584,0.392937,0.494444
k3780,0.424132,1.68313,0.583972,0.627083
k46298,0.458476,0.085477,0.0673466,0.0861111
k51697,0.494783,1.3183,0.454683,0.516667
k51439,0.215027,0.811362,0.310558,0.327778
k25909,0.448606,0.737955,0.185947,0.219444
k6222,0.588971,1.69478,0.123641,0.18125
k14898,0.54375,0.862114,0.134795,0.172222
k22923,0.0750791,0.222828,0.213613,0.219444
k1890,0.377653,-0.0402586,0.147467,0.177778
k20283,0.296015,4.61583,0.651849,0.733333
k34750,0.346168,0.183471,0.304765,0.375
k47018,0.486395,0.0280668,0.545416,0.61875
k33908,0.291248,0.434127,0.517305,0.525
k23148,0.753728,-1.33208,0.349048,0.361111
