Key_0_0,V40,V43,V29,V38,Key_1_2
k52625,35.635,14.3869,1.0,0.266667,k41622
k19655,9.19912,5.21522,0.195833,0.263889,k4741
k45555,33.5311,17.0606,0.14375,0.7,k41015
k19785,39.304,3.6815,0.979167,0.347222,k5463
k47976,8.24757,16.3482,1.0,0.408333,k24914
k55424,30.0951,13.9967,0.233333,0.7,k23264
k45710,13.4564,5.1834,0.919444,0.252778,k275
k36552,13.3581,15.3312,1.0,0.2,k33824
k35151,21.3283,8.99649,0.89375,0.0638889,k41564
k16404,24.7812,16.436,1.0,0.525,k41390
k36746,54.3366,13.6665,1.0,0.245833,k13909
k38532,11.164,0.0,0.133333,0.341667,k36129
k46117,42.8602,2.18519,0.445833,0.95625,k26074
k8058,39.3693,17.1377,0.185417,0.175,k32155
k41386,25.5535,9.73092,0.191667,0.222917,k48359
k25540,30.6669,21.6857,1.0,0.333333,k16820
k9220,52.8891,9.6583,0.908333,0.325,k31671
k49624,40.1165,3.75246,0.411111,0.111111,k46733
k54566,31.3789,13.2643,0.447917,0.338889,k26007
k29247,41.5202,2.69145,1.0,0.155556,k21382
k36991,22.3718,2.91109,0.415625,0.635417,k45689
k16760,7.51638,3.55176,1.0,0.619444,k29702
k10709,27.3365,3.44124,1.0,0.710417,k12967
k10625,62.2538,12.84,0.270833,0.566667,k34248
k18237,85.527,15.8766,0.0604167,0.794444,k27195
k10646,30.8844,15.0746,0.344444,0.305556,k32667
k28478,13.7596,19.136,0.227083,0.0888889,k25823
k16259,15.649,14.1247,0.179167,0.172222,k33895
k2012,56.1521,26.0736,0.310417,0.284375,k20154
k38444,32.0507,25.1598,0.830556,0.433333,k13147
k28085,8.4376,20.065,0.225,0.10625,k35222
k8953,46.5934,13.7695,1.0,0.15,k10470
k2560,8.02831,3.50466,1.0,0.985417,k9401
k39130,57.2345,6.38296,0.254167,0.655556,k23646
k18695,31.1011,14.9514,1.0,0.636111,k7223
k11041,26.6644,8.87666,0.30625,0.871875,k30508
k6493,58.9128,3.62102,0.579167,0.1875,k55199
k12164,27.7602,14.3598,0.0979167,0.183333,k30303
k9061,5.39721,5.81332,0.110417,0.366667,k23628
k23822,22.1886,10.4327,0.227083,0.45,k54512
k13932,61.2281,13.1417,1.0,0.838889,k36784
k29660,9.88602,10.4678,0.391667,1.0,k232
k12880,5.51669,28.6685,0.219444,0.275,k20754
k27206,11.5318,4.28663,0.3,0.0895833,k22839
k38135,56.6802,1.73844,1.0,0.233333,k5587
k8263,4.36463,10.3561,1.0,0.2375,k23817
k38780,60.7939,10.9162,0.0875,0.138889,k43953
k26995,32.2389,14.5862,1.0,0.425,k2085
k29399,36.4003,9.5416,0.104167,0.116667,k33332
k41437,34.287,2.43404,0.685417,0.335417,k17480
k33050,48.0382,4.24076,0.761111,0.233333,k16890
k14497,43.398,3.00589,1.0,0.339583,k24915
k43244,29.4514,7.567,0.102083,0.605556,k1506
k16914,38.9916,17.2226,0.716667,0.913889,k10601
k9607,9.24696,14.4446,0.179167,0.655556,k294
k28164,32.0381,18.3823,0.447222,0.864583,k32
k38477,17.3294,13.8849,0.04375,0.580556,k1721
k6292,8.64016,18.0099,1.0,0.130556,k25292
k17712,40.6231,6.56506,0.744444,0.236111,k775
k5871,6.19157,17.8038,0.0708333,0.178125,k34516
k20637,38.594,12.5318,0.879167,0.266667,k5929
k31177,20.9082,9.02266,0.15625,0.0388889,k42654
k26892,50.6472,5.05412,0.289583,1.0,k43102
k2558,50.4124,3.88792,0.09375,0.447222,k31536
k38819,40.9572,14.6847,0.755556,0.283333,k3915
k1443,46.9174,2.30726,0.04375,0.444444,k3780
k4267,14.3484,8.683,0.208333,0.283333,k46298
k527,60.5131,7.05813,1.0,0.341667,k51697
k44729,31.4073,5.8962,0.133333,0.589583,k51439
k7454,55.0894,8.26862,0.289583,0.225,k25909
k18496,34.9963,0.410802,0.383333,0.189583,k6222
k50851,14.9319,11.5925,1.0,0.261111,k14898
k50843,10.9211,3.72524,0.997222,0.722917,k22923
k22754,19.0943,9.89581,1.0,0.185417,k1890
k27994,10.6399,1.59649,1.0,0.197222,k20283
k14870,61.567,19.6956,0.483333,0.219444,k34750
k19936,58.264,18.0731,1.0,0.475,k47018
k50260,48.6653,6.36072,0.763889,0.471875,k33908
k42131,97.1074,14.8607,0.102083,0.172222,k23148
k29614,35.0643,14.7631,0.164583,0.4,k40314
k2046,27.4744,6.21347,0.169444,0.238889,k43709
k2714,16.5625,2.48606,1.0,0.647917,k14719
k29053,67.158,13.8664,1.0,0.344444,k22223
k53557,46.4678,12.1144,0.0770833,0.338889,k48410
k25918,79.1829,4.43244,0.61875,0.116667,k16041
k17581,58.9439,4.3811,0.333333,0.95833,k33673
k43965,11.7084,27.0992,0.0479167,0.505556,k4112
k42919,54.5433,4.74816,1.0,0.766667,k29297
k12177,12.0978,14.3187,0.997917,0.239583,k33820
k26638,41.0338,18.0567,1.0,0.389583,k52358
k23115,72.7238,12.5968,0.761111,0.455556,k32563
k25593,63.9997,7.09232,0.23125,0.158333,k44718
k56993,13.6575,14.9429,1.0,0.366667,k50077
k27207,61.9169,13.0309,0.210417,0.0944444,k48793
k1055,24.2777,10.0496,1.0,0.366667,k38921
k48886,48.4351,4.97838,0.197917,0.521875,k41467
k56587,51.5595,23.9976,0.158333,0.216667,k46152
k27397,60.2023,17.3075,1.0,0.416667,k24874
k33720,49.1297,6.92026,0.341667,0.844444,k1336
k47397,44.0944,9.13664,1.0,0.638889,k55787
k29463,29.8073,20.604,0.411111,0.375,k48040
k41804,38.5955,10.6429,0.954167,0.8625,k36822
k46345,35.5746,5.50188,0.220833,0.311111,k26789
k37284,56.2791,13.1398,1.0,0.572222,k47661
k44799,14.7057,7.06403,0.427083,0.1375,k18215
k6823,20.3999,10.5518,0.5625,0.344444,k19646
k50512,26.8481,16.0068,1.0,0.266667,k47958
k701,35.1595,9.18328,0.122917,0.329167,k57072
k35405,50.7489,3.06382,0.283333,0.891667,k55400
k29277,51.1691,7.48624,0.0729167,0.813889,k42557
k45723,51.239,6.83963,0.604167,0.125,k10011
k21959,12.1435,3.4155,0.135417,0.730556,k16594
k12556,40.3435,7.77506,1.0,0.404167,k49995
k49371,7.34388,1.32767,0.3,0.736111,k35804
k49604,20.1509,5.25783,0.916667,0.429167,k55385
k39156,2.44353,2.94651,0.266667,0.438889,k38670
k51678,44.0182,12.4737,0.577083,0.179167,k11071
k22053,28.3479,17.9336,1.0,0.916667,k39737
k55736,30.9463,14.468,0.497917,0.944444,k34058
k8798,22.3951,5.08105,0.329167,1.0,k163
k31528,38.8899,5.97712,0.289583,0.127083,k10847
k48366,2.02346,6.61824,0.263889,0.288889,k1021
k18811,13.0547,5.66034,1.0,0.191667,k23641
k45892,31.5812,14.1298,0.302083,0.477778,k32433
k31485,25.0669,14.1768,0.319444,0.569444,k47428
k7374,30.3133,18.6174,1.0,0.266667,k50293
k32382,29.5525,10.2568,1.0,0.672222,k8113
k57184,21.3662,10.9696,1.0,0.133333,k18412
k48137,49.4211,13.6006,1.0,0.0416667,k50884
k56889,37.0413,2.966,0.352778,0.384375,k10232
