Key_0_0,V32,V35,V49,V31,Key_1_1
k52625,0.107101,10.9203,13.8732,56.8733,k32091
k19655,0.21696,-0.667744,77.1902,20.895,k4840
k45555,0.272595,-14.8954,112.308,41.1504,k4803
k19785,0.210346,-1.13424,45.5046,63.2907,k33958
k47976,0.180497,-6.24297,53.373,42.1712,k93
k55424,0.593927,8.63795,72.74,41.1311,k19078
k45710,0.553637,0.834843,64.651,35.4905,k40687
k36552,0.1836,8.23703,138.941,39.4324,k27820
k35151,0.354379,10.0034,137.272,64.4955,k1451
k16404,0.207719,-0.501656,77.5898,11.9984,k48568
k36746,0.432391,2.81835,62.2672,32.5663,k27662
k38532,0.175479,9.78016,62.9253,5.62383,k35386
k46117,0.125632,-3.10049,156.637,16.1234,k9465
k8058,0.256758,-0.385044,51.632,16.7125,k28913
k41386,0.355237,-1.69603,65.2779,27.096,k27836
k25540,0.236668,0.436022,72.4632,15.7371,k12805
k9220,0.168966,0.342152,117.07,30.0139,k6856
k49624,0.315907,0.165721,108.22,39.0261,k50173
k54566,0.329745,3.35188,164.462,6.4668,k41078
k29247,0.141545,2.70956,254.169,13.7588,k3738
k36991,0.0376327,4.34907,112.377,19.1829,k54541
k16760,0.365514,7.58964,211.782,19.3516,k56894
k10709,0.0917466,1.2453,146.866,11.4167,k37368
k10625,0.295981,-7.65815,110.486,55.2933,k19386
k18237,0.711068,4.3673,92.7926,14.2636,k46962
k10646,0.405814,0.470235,41.6326,13.0003,k5454
k28478,0.642539,0.988183,191.971,9.16147,k55967
k16259,0.456564,0.0506848,154.902,33.8439,k9963
k2012,0.300138,-3.09434,176.819,20.3031,k17580
k38444,0.265906,-0.746396,135.534,32.6369,k35395
k28085,0.298283,-2.54741,68.1939,51.6634,k43703
k8953,0.213438,-0.044659,134.854,40.2667,k5913
k2560,0.322757,15.9456,90.0545,16.8773,k33863
k39130,0.21578,-11.2489,137.006,14.2938,k44032
k18695,0.216092,4.25601,138.312,48.1921,k29106
k11041,0.063639,5.66153,107.277,65.0381,k6718
k6493,0.102794,2.20424,107.669,20.5417,k28540
k12164,0.558129,4.42882,164.464,39.2747,k12059
k9061,0.151745,5.68142,120.179,44.5855,k45859
k23822,0.368562,-20.4609,231.229,16.5922,k30289
k13932,0.350804,-11.1159,76.8861,51.1484,k33205
k29660,0.749778,2.62527,244.256,27.9529,k26287
k12880,0.0555004,2.95981,116.731,62.6674,k10224
k27206,0.229977,-2.1995,194.752,27.0885,k25056
k38135,0.209234,3.02838,206.032,38.1394,k18888
k8263,0.359869,-0.471897,209.028,26.8764,k4941
k38780,0.107032,-0.699076,133.394,45.9477,k32134
k26995,0.0938626,-0.080965,99.9303,47.3156,k35439
k29399,0.0905595,0.00522975,139.852,69.7798,k15127
k41437,0.529994,-0.502089,53.7092,51.5577,k27659
k33050,0.192283,1.87217,143.553,20.4109,k33113
k14497,0.323491,9.11067,121.27,46.9735,k25520
k43244,1.04176,-3.47226,158.922,47.6677,k331
k16914,0.0973282,-0.0227659,171.021,34.3054,k23220
k9607,0.511924,-7.8756,21.4055,27.4618,k15606
k28164,0.334849,-5.85695,137.817,19.3838,k44272
k38477,0.156469,-4.69373,102.299,67.0412,k45474
k6292,0.122415,-1.26111,190.97,51.8753,k44525
k17712,0.207906,-4.52459,158.269,12.8467,k152
k5871,0.135424,16.6877,100.624,21.9476,k34655
k20637,0.199427,3.45651,139.713,47.3388,k47499
k31177,0.366731,-6.12345,154.143,5.72831,k28993
k26892,0.636834,-1.7502,66.2911,20.8556,k57475
k2558,0.203624,4.21929,150.433,34.8596,k31188
k38819,0.952362,4.80374,82.7128,58.6605,k49676
k1443,0.139382,2.13049,32.9304,51.6519,k20155
k4267,0.400515,-3.90556,127.08,26.6216,k37728
k527,0.239018,-3.32924,168.253,14.8948,k53384
k44729,0.185438,17.1167,214.599,31.2324,k49752
k7454,0.149168,-0.00169846,147.51,63.2087,k54117
k18496,0.781155,1.65665,118.611,31.3915,k50965
k50851,0.202153,-1.98642,100.636,6.03638,k27593
k50843,0.212089,45.4407,158.379,45.8444,k38840
k22754,0.250939,4.04047,75.5845,35.4688,k54227
k27994,0.147563,-0.119815,53.5358,33.4092,k54701
k14870,0.101578,7.43817,102.379,24.0324,k5550
k19936,0.709408,2.69224,38.398,51.0194,k42228
k50260,0.110703,-9.46192,56.1278,43.7024,k48044
k42131,0.372298,8.41481,212.075,7.56299,k19177
k29614,0.157202,-0.156788,106.591,70.1267,k11006
k2046,0.154694,2.3552,95.279,4.72486,k13784
k2714,0.150425,8.32706,94.0868,43.8519,k23777
k29053,0.193182,13.5176,126.028,35.2298,k53582
k53557,0.162517,0.949304,203.643,29.7709,k47166
k25918,0.136712,-1.8071,162.248,34.68,k47058
k17581,0.198473,3.47315,107.646,32.5341,k19124
k43965,0.271645,-5.4626,69.3289,35.4852,k38026
k42919,0.418736,11.3851,15.8715,59.2817,k53932
k12177,0.518523,9.0118,184.101,24.0794,k38814
k26638,0.430047,5.5549,245.048,34.9894,k29889
k23115,0.116079,3.57904,172.573,71.1879,k49520
k25593,0.284071,-13.376,157.392,23.8291,k53713
k56993,0.271019,0.760649,138.893,19.5652,k19450
k27207,0.34242,-0.57637,253.723,16.2822,k42118
k1055,0.0649176,-1.34645,254.316,52.0956,k27186
k48886,0.45256,12.8293,104.616,21.0023,k14186
k56587,0.306485,1.38944,124.957,54.7356,k39272
k27397,0.614957,5.25408,154.313,23.206,k18967
k33720,0.306077,-0.619149,86.0596,8.73979,k8225
k47397,0.0996047,2.36959,114.927,54.4167,k1245
k29463,0.533113,-2.40773,162.822,33.2654,k44209
k41804,0.145311,9.71115,123.899,13.678,k7711
k46345,0.086579,-1.97414,48.7161,55.2751,k22319
k37284,0.102005,12.9638,230.328,41.3445,k9628
k44799,1.013,-2.19942,176.825,30.2889,k38559
k6823,0.32181,3.97301,125.208,28.8637,k8418
k50512,0.532565,-6.21982,90.1502,54.1871,k2254
k701,0.470285,4.33596,99.8266,31.7654,k44068
k35405,0.198445,6.25849,56.7388,32.3228,k5056
k29277,0.134544,-0.593864,199.903,44.7818,k41097
k45723,0.0958692,4.17619,57.4234,24.563,k29605
k21959,0.321809,0.735487,97.009,34.1844,k19256
k12556,0.276259,-0.550485,115.361,50.9215,k21818
k49371,0.258578,7.73134,58.2565,56.9732,k25540
k49604,0.70257,2.0864,130.87,44.7264,k43209
k39156,0.295368,0.427676,124.641,70.8422,k55944
k51678,0.289705,-3.6726,103.907,58.2694,k45394
k22053,0.478551,-1.25536,48.1654,51.2203,k23776
k55736,0.526008,2.9656,184.763,27.7279,k50073
k8798,0.0503463,3.45871,42.9647,43.0209,k46449
k31528,0.35368,6.69028,182.43,16.3223,k22718
k48366,0.443934,5.78192,135.768,55.4914,k27394
k18811,0.267556,4.19358,112.743,58.357,k33244
k45892,0.284722,2.56108,159.362,19.6545,k51504
k31485,0.167247,-0.0384385,220.512,57.5885,k2808
k7374,0.513021,-0.034622,93.5902,19.6537,k35492
k32382,0.405705,18.2584,169.285,41.1022,k9539
k57184,0.694552,3.46232,112.688,24.8125,k48039
k48137,0.455549,-3.96663,229.704,18.2095,k32049
k56889,0.144234,-0.173387,100.873,24.7661,k39703
k48434,0.607946,4.46694,161.714,78.2452,k57362
k51717,0.247462,-1.02257,99.9385,11.0116,k51573
k44660,0.640153,7.99478,84.4175,43.7034,k3969
k49733,0.796633,0.438236,50.8976,49.8641,k6832
k18171,0.252182,0.027481,31.5256,47.2587,k40473
k36376,0.826592,3.28809,67.8926,17.691,k54593
k25672,0.138552,5.34695,87.6436,51.3561,k9947
k40258,0.238496,-0.468482,155.72,30.3826,k27289
k6556,0.329772,3.14326,125.392,57.5183,k4539
k40219,0.264463,7.50258,97.6002,15.2601,k51533
k23437,0.251501,1.96496,192.737,14.9846,k22460
k41121,0.271199,0.35553,98.4181,26.782,k39494
k22663,0.129567,0.249571,65.8694,58.8268,k27828
k47303,0.0831377,2.62537,189.627,8.79833,k53223
k34728,0.308105,3.06801,196.325,39.8039,k26824
k10339,0.0947524,-1.0173,130.001,39.6163,k36917
k56079,0.708676,5.60488,112.168,11.4786,k40507
k20830,0.445708,0.424676,109.962,70.0007,k23196
k16948,0.280939,-2.83578,49.3719,3.67625,k20607
k33725,0.20869,0.927163,107.599,48.8779,k14511
k6288,0.782323,0.0214802,176.376,30.887,k32190
k21083,0.107477,-3.0091,177.805,21.5112,k33197
k34115,0.187624,-3.24084,249.431,19.7482,k29344
k38696,0.557814,0.348804,133.554,58.5321,k20018
k2479,0.273183,-1.42568,128.336,16.8003,k7608
k6879,0.228064,0.06435,150.429,45.5256,k39269
k14005,0.200004,-5.0989,121.329,15.7506,k24605
k14587,0.0826748,3.83521,98.3199,42.3338,k18215
k12704,0.0360502,0.307562,143.828,33.1941,k19991
k3926,0.366105,4.39959,151.474,56.3869,k14762
k51130,0.0519792,7.65334,164.301,22.4888,k25032
k2195,0.201843,-1.48342,131.384,44.3016,k47128
k282,0.106896,9.39462,78.0944,29.0356,k31349
k39315,0.432347,12.9146,59.7197,21.9513,k11803
