Key_1_1,V17,V15,Key_2_6
k1753,0.1818,0.0498,166
k1794,0.2069,0.7647,1263
k479,0.3333,0.971,473
k1888,0.1556,0.7287,253
k1670,0.0662,0.0695,1645
k1269,0.1264,0.62,436
k1578,0.0795,0.4896,1281
k1529,0.5,0.2253,924
k1377,0.5,0.3912,185
k741,0.0976,0.0877,1654
k333,0.25,0.1257,1284
k501,0.1563,0.5987,957
k912,0.2222,0.0545,1634
k848,0.15,0.6888,1569
k618,0.2308,0.5347,388
k1394,0.1136,0.7931,168
k822,0.1343,0.1849,260
k551,0.1918,0.1067,80
k223,0.28,0.0972,1939
k530,0.4444,0.0877,1684
k23,0.3235,0.0202,1582
k1598,0.3103,0.051,511
k1588,0.4737,0.0747,1855
k629,0.2564,0.0972,379
k513,0.2727,0.0889,1894
k1822,0.3913,0.0015,1659
k196,0.359,0.0015,177
k1015,0.3333,0.2668,1535
k1530,0.0837,0.1034,941
k1879,0.3421,0.0714,1216
k766,0.2121,0.7808,1880
k1886,0.2063,0.1312,1688
k616,0.2917,0.2322,1693
k1734,0.3571,0.0707,108
k38,0.371,0.1629,365
k1104,0.2791,0.9257,248
k3,0.3077,0.0177,1243
k619,0.1408,0.2395,639
k369,0.2083,0.0,1126
k1364,0.5217,0.0049,838
k858,0.1852,0.6224,1166
k1152,0.3333,0.1212,1389
k119,0.4615,0.086,725
k1816,0.2,0.0455,1881
k66,0.381,0.5325,1376
k1276,0.1837,0.0663,820
k58,0.5385,0.2183,1852
k228,0.3529,0.8537,1156
k786,1.0,0.1659,1365
k261,0.6364,0.9231,674
k1296,0.5385,0.6426,1025
k1040,0.1667,0.0154,212
k380,0.3333,0.013,1148
k1162,0.4167,0.0618,774
k1507,0.2647,0.9284,751
k1441,0.3333,0.4484,331
k1219,0.4615,0.4036,1709
k450,0.4,0.4254,1404
k673,0.6667,0.7181,540
k847,0.4,0.1456,1400
k702,0.7,0.95,1576
k392,0.6364,0.2482,1854
k1224,0.8182,0.9192,1887
k1718,0.5833,0.1495,222
k956,0.8182,0.5772,830
k1195,0.15,0.1103,1550
k496,0.4,0.9669,807
k1151,0.4615,0.0411,87
k348,0.5714,0.0531,937
k1782,0.8889,0.0459,1047
k156,0.8461,0.0362,71
k1677,0.3214,0.0607,1228
k557,0.4,0.5821,24
k799,0.3333,0.7332,416
k533,0.6667,0.7355,1478
k986,0.8571,0.5272,1205
k803,0.2903,0.4433,1558
k273,0.3913,0.1849,770
k1181,0.0569,0.1771,557
k502,0.0904,0.0594,167
k1298,0.1566,0.9808,44
k889,0.4706,0.97,316
k1430,0.875,0.0425,1265
k1130,0.0519,0.094,1163
k331,0.75,0.0838,576
k1004,0.5625,0.6638,653
k170,0.35,0.7974,1392
k1320,0.375,0.2188,1280
k1751,0.3056,0.1848,1372
k1675,0.3846,0.5719,1776
k1351,0.25,0.4692,1858
k1632,0.2464,0.0499,1928
k443,0.194,0.2338,946
k966,0.5909,0.1261,1900
k1704,0.7778,0.0205,1502
k1402,0.4483,0.8203,37
k229,0.3077,0.7385,1510
k1386,0.1628,0.9231,481
k121,0.4211,0.8442,1337
k219,0.5,0.4421,650
k1697,0.5833,0.7778,1434
k1856,0.4762,0.1491,1335
k322,0.5,0.2202,1884
k178,0.1165,0.5433,1247
k1265,0.2281,0.049,890
k969,0.6667,0.2754,1560
k1288,0.1066,0.1812,1733
k69,0.4643,0.3174,1405
k49,0.5,0.5646,704
k1081,0.5294,0.0353,1034
