Key_0_0,V26,V25,Key_1_2
k903,-0.2913,0.8182,k831
k1311,-0.1756,0.7931,k215
k1487,-0.1228,0.6667,k1200
k441,-0.1568,0.8444,k1372
k827,-0.1992,0.9338,k1632
k628,-0.2267,0.8736,k879
k268,0.2791,0.9205,k181
k1508,0.1841,0.5,k574
k207,-0.1197,0.5,k334
k1352,-0.0651,0.9024,k1472
k480,-0.1093,0.75,k1761
k684,-0.1455,0.8438,k316
k1848,0.0086,0.7778,k431
k1512,-0.2978,0.85,k836
k787,-0.2568,0.7692,k901
k1143,-0.1487,0.8864,k1208
k1349,-0.1157,0.8657,k1399
k1231,-0.1543,0.8082,k212
k112,-0.1499,0.72,k564
k329,-0.0727,0.5556,k162
k1103,-0.1031,0.6765,k1363
k1372,-0.0935,0.6897,k456
k559,0.0192,0.5263,k647
k1015,-0.0479,0.7436,k849
k1689,0.063,0.7273,k733
k1197,-0.2395,0.6087,k1780
k1790,-0.2341,0.641,k516
k357,-0.1776,0.6667,k478
k1672,-0.1045,0.9163,k1389
k1494,-0.2537,0.6579,k898
k208,-0.1093,0.7879,k1150
k338,-0.2767,0.7936,k1181
k1100,-0.1752,0.7083,k1380
k1185,-0.2785,0.6429,k1799
k1404,-0.4588,0.629,k80
k1441,-0.2367,0.7209,k560
k1734,-0.2015,0.6923,k1891
k1250,-0.1046,0.8591,k634
k1018,-0.3522,0.7917,k1706
k901,-0.184,0.4783,k1756
k1875,-0.095,0.8148,k1415
k1177,-0.2701,0.6667,k167
k1489,-0.2252,0.5385,k1501
k1113,-0.2037,0.8,k1152
k793,-0.1403,0.6191,k926
k401,-0.3333,0.8163,k1278
k708,-0.2206,0.4615,k494
k1720,-0.1745,0.6471,k359
k1455,-0.3468,0.0,k188
k157,-0.1301,0.3636,k705
k572,-0.1154,0.4615,k822
k251,-0.3611,0.8333,k202
k4,-0.2987,0.6667,k1808
k895,-0.3061,0.5833,k1444
k1005,-0.1469,0.7353,k473
k693,-0.1667,0.6667,k1827
k923,0.0573,-0.5385,k1758
k892,-0.2106,0.6,k884
k1297,-0.1353,0.3333,k1104
k126,-0.1439,0.6,k954
k46,-0.2572,0.3,k1468
k1355,-0.1064,0.3636,k1870
k932,-0.1712,0.1818,k691
k1031,-0.2158,0.4167,k396
k1855,-0.1243,0.1818,k1376
k246,-0.2186,0.85,k893
k83,-0.2098,0.6,k100
k1010,-0.1775,0.5385,k452
k586,-0.3512,0.4286,k172
k332,-0.3479,0.1111,k1352
k1937,-0.315,0.1539,k997
k25,-0.2428,0.6786,k923
k1791,-0.16,0.6,k1778
k436,-0.4276,0.6667,k1681
k18,-0.403,0.3333,k533
k310,-0.213,-0.1429,k1107
k1543,-0.1016,0.7097,k96
k542,-0.0658,0.6087,k570
k748,-0.1132,0.9431,k720
k1211,-0.166,0.9096,k1096
k970,-0.2246,0.8434,k1568
k1764,-0.133,0.5294,k1773
k1182,-0.216,-0.125,k409
k598,-0.2153,0.9481,k666
k1772,-0.3683,0.25,k1175
k1857,-0.0972,0.4375,k178
k1408,-0.0786,0.65,k76
k933,-0.1765,0.625,k828
k1729,-0.1313,0.6944,k1320
k770,-0.1263,0.6154,k268
k555,-0.1976,0.75,k974
k1829,-0.3003,0.7536,k786
k1733,-0.2199,0.806,k698
k431,-0.3402,0.4091,k1837
k979,-0.2414,-0.2222,k541
k1926,-0.1541,0.5517,k996
k395,-0.1097,0.6923,k544
k1813,-0.1253,0.8372,k1613
k502,-0.1247,0.5789,k1068
k1149,-0.128,0.5,k179
