Key_1_3,V5,V22,Key_2_12
k863,267,2.4265,838
k153,108,2.0334,849
k989,71,1.8513,783
k731,176,2.2455,1059
k1841,2409,3.3818,57
k1604,630,2.7993,815
k1876,9052,3.9567,41
k1462,132,2.1206,1804
k517,264,2.4216,1203
k1530,1506,3.1778,1639
k1135,442,2.6454,300
k1466,284,2.4533,442
k582,480,2.6812,169
k1354,433,2.6365,193
k1855,728,2.8621,14
k1725,1097,3.0402,978
k476,5044,3.7028,713
k140,552,2.7419,1114
k68,137,2.1367,1324
k312,209,2.3201,948
k1308,284,2.4533,1821
k425,153,2.1847,1576
k380,106,2.0253,1487
k1723,264,2.4216,153
k660,201,2.3032,758
k15,171,2.233,314
k842,395,2.5966,1514
k792,85,1.9294,1603
k1139,3214,3.5071,877
k1289,386,2.5866,1839
k288,182,2.2601,1526
k1156,527,2.7218,433
k1754,158,2.1987,1421
k1753,214,2.3304,338
k1150,994,2.9974,207
k1826,367,2.5647,1602
k1889,320,2.5052,677
k375,378,2.5775,488
k860,210,2.3222,867
k423,201,2.3032,1025
k1295,386,2.5866,1517
k248,324,2.5106,1681
k1320,234,2.3692,122
k1258,340,2.5315,1571
k1905,98,1.9912,115
k1856,267,2.4265,501
k1893,56,1.7482,1357
k955,71,1.8513,1094
k1639,90,1.9542,1296
k898,55,1.7404,1231
k1862,58,1.7634,1083
k376,567,2.7536,528
k65,182,2.2601,822
k442,154,2.1875,1907
k1805,188,2.2742,386
k1682,146,2.1644,1497
k341,51,1.7076,1160
k1578,184,2.2648,1284
k971,67,1.8261,836
k1089,64,1.8062,139
k1693,53,1.7243,283
k1563,60,1.7781,1084
k1582,76,1.8808,741
k1837,66,1.8195,146
k1128,70,1.8451,108
k94,382,2.5821,60
k1588,110,2.0414,1811
k314,51,1.7076,927
k193,63,1.7993,706
k1883,56,1.7482,1635
k1859,89,1.9494,574
k1733,190,2.2787,1738
k182,81,1.9085,920
k1797,63,1.7993,1254
k1609,60,1.7781,97
k484,30,1.4771,1386
k1260,209,2.3201,1095
k1368,156,2.1931,1467
k1870,2643,3.4221,1539
k1505,2145,3.3314,915
k1328,1421,3.1526,1180
k607,103,2.0128,1123
k368,40,1.6021,1728
k1552,10914,4.038,672
k1054,135,2.1303,468
k1939,114,2.0569,158
k1412,82,1.9138,1495
k948,275,2.4393,691
k241,289,2.4609,310
k1409,313,2.4955,387
k1669,437,2.6405,1287
k118,759,2.8802,297
k1520,677,2.8306,1555
k1143,211,2.3243,1278
k890,52,1.716,1592
k713,261,2.4166,1138
k254,135,2.1303,763
k342,181,2.2577,130
k1353,109,2.0374,830
k1058,102,2.0086,59
k25,51,1.7076,1827
k1664,134,2.1271,1352
k691,266,2.4249,407
k622,970,2.9868,1725
k370,515,2.7118,1403
k1746,116,2.0645,1585
k825,2490,3.3962,1749
k1763,251,2.3997,247
k918,165,2.2175,1746
k121,112,2.0492,562
k661,208,2.3181,1096
k1093,337,2.5276,1108
k273,167,2.2227,1368
k306,200,2.301,1522
k515,359,2.5551,718
k24,349,2.5428,1062
k1596,140,2.1461,77
k109,379,2.5786,989
k1739,121,2.0828,18
k611,762,2.8819,530
k1448,861,2.935,1765
k972,335,2.525,787
k1191,242,2.3838,972
k839,264,2.4216,262
k1724,134,2.1271,1779
k936,372,2.5705,1711
k1616,794,2.8998,1110
k1202,227,2.356,1437
k737,927,2.9671,127
k557,227,2.356,1447
k1044,271,2.433,1672
k681,771,2.887,881
k440,471,2.673,1531
k1405,285,2.4548,579
k460,120,2.0792,273
k1217,4686,3.6708,1689
k363,70,1.8451,47
k926,180,2.2553,1156
k653,170,2.2304,837
k785,83,1.9191,868
k1577,2705,3.4322,45
k1745,177,2.248,240
k1501,221,2.3444,1810
k585,109,2.0374,1848
k1631,104,2.017,167
k907,3319,3.521,1739
k490,501,2.6998,1647
k1915,291,2.4639,1143
k229,444,2.6474,520
k217,258,2.4116,702
k679,168,2.2253,1694
k1740,136,2.1335,119
k353,119,2.0756,141
k1056,257,2.4099,620
k828,265,2.4232,603
k1343,105,2.0212,1443
k327,154,2.1875,515
k1714,145,2.1614,887
k1274,123,2.0899,992
k802,56,1.7482,1458
k883,226,2.3541,1436
k843,436,2.6395,1434
k468,84,1.9243,1732
k1736,63,1.7993,126
k998,1590,3.2014,1815
k677,2267,3.3554,1158
k591,521,2.7168,26
k787,395,2.5966,379
k1569,353,2.5478,478
k658,205,2.3117,1211
k1164,135,2.1303,1440
k1299,294,2.4683,717
k7,71,1.8513,671
k449,56,1.7482,1939
k979,54,1.7324,1074
k748,400,2.6021,1928
k422,82,1.9138,1687
k399,69,1.8389,932
k230,114,2.0569,255
k1603,158,2.1987,104
k1832,57,1.7559,1085
k542,74,1.8692,256
