Key_1_2,V27,V32,Key_2_7
k831,0.5822,0,1055
k215,0.2984,0,532
k1200,0.215,0,73
k1372,0.5212,0,622
k1632,1.0,0,317
k879,0.9874,0,1321
k181,1.0,0,468
k574,0.3359,0,1851
k334,0.5593,0,714
k1472,1.0,0,1798
k1761,0.8612,0,629
k316,0.9048,0,1212
k431,0.9093,0,1786
k836,0.8299,0,1436
k901,0.9888,0,888
k1208,1.0,0,1755
k1399,1.0,0,1587
k212,0.9918,0,115
k564,0.2998,0,794
k162,0.5362,0,1589
k1363,0.6173,0,1153
k456,0.4317,0,589
k647,0.2942,0,1817
k849,0.6422,0,1084
k733,0.4913,0,1415
k1780,0.3464,0,836
k516,0.8355,0,320
k478,0.215,0,1773
k1389,1.0,0,1301
k898,0.7822,0,724
k1150,0.3834,0,1152
k1181,0.9691,0,978
k1380,0.2901,0,691
k1799,0.463,0,1748
k80,0.9994,0,564
k560,0.8061,0,874
k1891,0.7512,0,924
k634,0.9381,0,866
k1706,0.7659,0,1554
k1756,0.4564,0,401
k1415,0.8299,0,1927
k167,0.7037,0,945
k1501,0.5162,0,1781
k1152,0.7889,0,147
k926,0.2901,0,1467
k1278,0.7161,0,269
k494,0.1965,0,1453
k359,0.2083,0,1026
k188,0.2583,0,1815
k705,0.1822,0,738
k822,0.1965,0,798
k202,0.944,0,1069
k1808,0.4025,0,86
k1444,0.3977,0,733
k473,0.5063,0,1024
k1827,0.4025,0,504
k1758,0.1832,0,498
k884,0.5951,0,659
k1104,0.2018,0,1916
k954,0.1954,0,188
k1468,0.1753,0,981
k1870,0.1822,0,1677
k691,0.2051,0,1265
k396,0.1892,0,800
k1376,0.2051,0,681
k893,0.8299,0,1565
k100,0.2792,0,901
k452,0.1832,0,1636
k172,0.2195,0,155
k1352,0.1773,0,646
k997,0.257,0,1418
k923,0.417,0,1783
k1778,0.2792,0,1530
k1681,0.215,0,344
k533,0.2018,0,1630
k1107,0.1499,0,1130
k96,0.4613,0,422
k570,0.3464,0,284
k720,1.0,0,55
k1096,1.0,0,1528
k1568,1.0,0,267
k1773,0.2482,0,78
k409,0.1622,0,802
k666,1.0,0,441
k1175,0.3241,0,0
k178,0.2583,0,749
k76,0.2532,0,1140
k828,0.633,0,999
k1320,0.6514,0,1885
k268,0.8682,0,796
k974,0.9236,0,764
k786,0.997,0,1816
k698,0.9779,0,1298
k1837,0.4729,0,1501
k541,0.1687,0,1048
k996,0.6221,0,636
k544,0.3479,0,1527
k1613,0.4979,0,83
k1068,0.2686,0,985
k179,0.2384,0,569
k245,0.1892,0,1137
k440,0.3509,0,1921
k246,0.6453,0,1419
k881,0.998,0,264
k1174,0.9491,0,558
k328,0.266,0,1917
k1072,1.0,0,1316
k223,0.6015,0,534
k785,0.4763,0,1466
k488,0.2699,0,1836
k732,0.5822,0,455
k1509,0.7347,0,771
k1781,0.417,0,1386
k1488,0.4763,0,425
k505,0.7933,0,1758
k222,0.7776,0,108
k565,0.3509,0,1327
k1582,0.8299,0,1853
k1035,0.3068,0,209
k1594,0.9985,0,367
k1132,0.9992,0,608
k1588,0.8705,0,1266
k1586,0.5999,0,16
k1711,0.5951,0,1750
k1521,0.3601,0,1145
k1504,0.9708,0,283
k74,0.9993,0,1583
k1203,0.633,0,1020
k966,0.9997,0,431
k301,0.4613,0,1809
k851,0.6514,0,122
k751,0.9998,0,984
k1291,0.9349,0,202
k1930,0.7659,0,1926
k515,0.3125,0,1848
k784,1.0,0,312
k1768,0.1954,0,338
k543,0.3882,0,1403
k1217,0.4187,0,729
k1906,0.2288,0,1407
k1299,1.0,0,1857
k1561,0.4138,0,1579
k325,0.5642,0,1871
k150,0.2583,0,693
k947,0.2532,0,831
k1836,1.0,0,567
k368,0.9294,0,1022
k1397,0.6995,0,682
k190,0.9212,0,1149
k1286,0.6142,0,1644
k942,0.3725,0,692
k90,0.3212,0,783
k711,0.3882,0,756
k1086,0.5626,0,1571
k853,0.7833,0,1103
k279,0.3241,0,487
k112,0.3329,0,133
k1123,0.3197,0,1411
k283,0.4399,0,285
k1182,0.1773,0,1671
k904,0.6574,0,1240
k1383,0.9216,0,336
k499,0.2432,0,873
k1269,0.2901,0,699
k1454,1.0,0,885
k1506,1.0,0,1938
k1498,0.9998,0,1552
k855,0.94,0,406
k427,0.9747,0,250
k1066,0.6868,0,559
k393,0.3663,0,1364
k123,0.7933,0,1182
k1272,0.2105,0,1197
k873,0.215,0,607
k1744,0.2359,0,598
k128,0.9082,0,1924
k187,0.2583,0,370
k1576,0.2532,0,1827
k601,0.3977,0,476
k1934,0.5029,0,653
k1922,0.2583,0,13
k842,0.2051,0,1328
k729,0.2901,0,1408
k875,1.0,0,894
k249,1.0,0,1256
k1093,0.9474,0,1123
k448,0.2018,0,301
k1516,0.2739,0,110
k777,0.1892,0,1070
k1549,0.9639,0,1464
k22,0.3494,0,318
k103,0.23,0,106
k1347,0.2083,0,1231
k1494,0.5162,0,1313
k1170,0.3977,0,1741
k1462,0.9997,0,222
k81,0.4465,0,1459
k569,0.9818,0,196
k1310,0.3977,0,1629
k1117,0.2051,0,1686
k1375,0.2532,0,1833
k20,0.9999,0,180
k1882,1.0,0,1713
k1367,1.0,0,309
k620,0.9996,0,1143
k1512,1.0,0,1613
k1901,1.0,0,595
k788,1.0,0,908
k1381,0.9917,0,1733
k1555,1.0,0,33
k1647,1.0,0,1883
k1929,1.0,0,1940
k1225,0.9963,0,1208
k1354,1.0,0,71
k1587,1.0,0,722
k1695,0.9984,0,903
k645,0.9999,0,917
k643,1.0,0,797
k1662,0.9974,0,499
k1207,0.9814,0,1039
k1070,0.9999,0,1828
k1764,0.2288,0,1111
k1089,1.0,0,1225
k1729,0.8756,0,1236
k1439,0.3945,0,747
k752,0.4729,0,1189
k1007,0.2532,0,1079
k91,1.0,0,104
k1037,0.4713,0,1770
k1536,0.7933,0,1830
k1114,0.2532,0,1398
k1569,0.1965,0,1382
k1404,0.2061,0,1397
k1880,0.7598,0,696
k1649,0.1965,0,1293
k234,0.385,0,1658
k1601,0.1892,0,843
k580,0.204,0,666
k825,0.9997,0,832
k1473,0.9685,0,1912
k1151,0.2051,0,1193
k1350,0.4399,0,599
k913,0.3479,0,1492
k1003,0.2018,0,259
k1233,0.6453,0,1198
k532,0.2384,0,1599
k163,0.9747,0,1825
k1475,0.8299,0,875
k493,0.23,0,818
k98,0.2712,0,255
k1623,0.2173,0,74
k1091,0.2712,0,616
k1199,0.9998,0,127
k183,0.8123,0,323
k1395,0.2432,0,1481
k918,0.4729,0,1496
k1894,0.5903,0,1558
k87,0.5096,0,641
k593,0.4465,0,1049
k380,0.9998,0,80
k1614,0.6868,0,1922
k220,1.0,0,150
k1287,0.2901,0,1564
k421,0.6268,0,597
k854,0.7161,0,1250
k992,0.9884,0,793
k48,0.6648,0,539
k699,0.2901,0,778
k387,0.2583,0,423
k422,1.0,0,208
