Key_0_0,V16,V20,Key_1_3
k903,0.2415,1.0,k863
k1311,0.3793,0.9667,k153
k1487,0.3426,0.9474,k989
k441,0.4413,1.0,k731
k827,0.4486,0.9885,k1841
k628,0.3417,1.0,k1604
k268,0.339,0.9607,k1876
k1508,0.34,1.0,k1462
k207,0.2189,1.0,k517
k1352,0.4261,0.982,k1530
k480,0.2326,1.0,k1135
k684,0.5562,0.9275,k1466
k1848,0.2593,1.0,k582
k1512,0.1981,1.0,k1354
k787,0.2533,0.9559,k1855
k1143,0.446,0.9925,k1725
k1349,0.4772,0.9503,k476
k1231,0.4599,0.9605,k140
k112,0.2171,1.0,k68
k329,0.3549,1.0,k312
k1103,0.2406,1.0,k1308
k1372,0.4138,1.0,k425
k559,0.3801,1.0,k380
k1015,0.3231,1.0,k1723
k1689,0.3232,0.9429,k660
k1197,0.1739,1.0,k15
k1790,0.2766,1.0,k842
k357,0.213,1.0,k792
k1672,0.3902,0.9921,k1139
k1494,0.2186,1.0,k1289
k208,0.2121,1.0,k288
k338,0.3565,1.0,k1156
k1100,0.0595,1.0,k1754
k1185,0.2357,1.0,k1753
k1404,0.3029,1.0,k1150
k1441,0.2888,1.0,k1826
k1734,0.3162,1.0,k1889
k1250,0.4676,0.9861,k375
k1018,0.5625,1.0,k860
k901,0.2717,1.0,k423
k1875,0.2852,1.0,k1295
k1177,0.25,1.0,k248
k1489,0.25,1.0,k1320
k1113,0.32,1.0,k1258
k793,0.4167,1.0,k1905
k401,0.3946,1.0,k1856
k708,0.3846,1.0,k1893
k1720,0.3039,1.0,k955
k1455,0.375,1.0,k1639
k157,0.2857,1.0,k898
k572,0.3626,1.0,k1862
k251,0.219,1.0,k376
k4,0.251,1.0,k65
k895,0.3583,1.0,k442
k1005,0.3856,1.0,k1805
k693,0.3992,1.0,k1682
k923,0.3462,0.8571,k341
k892,0.4889,1.0,k1578
k1297,0.3021,1.0,k971
k126,0.2889,1.0,k1089
k46,0.2429,1.0,k1693
k1355,0.2208,1.0,k1563
k932,0.2323,1.0,k1582
k1031,0.2143,1.0,k1837
