Key_2_4,V9,V29
k59,76,0
k730,84,0
k305,99,0
k1315,99,0
k1637,37,0
k1525,64,0
k195,23,0
k820,124,0
k1429,53,0
k350,53,0
k1558,76,0
k1642,97,0
k1214,102,0
k1353,62,0
k517,36,0
k489,50,0
k212,11,0
k746,79,0
k1236,92,0
k1630,96,0
k688,87,0
k237,101,0
k1732,107,0
k473,92,0
k1843,123,0
k566,77,0
k1584,75,0
k294,97,0
k1065,33,0
k1089,51,0
k1710,99,0
k875,47,0
k1618,80,0
k1091,70,0
k806,15,0
k1324,55,0
k676,55,0
k170,77,0
k1390,73,0
k1104,79,0
k402,90,0
k70,65,0
k330,66,0
k638,88,0
k1424,96,0
k908,67,0
k1200,85,0
k627,91,0
k860,67,0
k868,95,0
k46,100,0
k1006,51,0
k342,72,0
k420,69,0
k988,95,0
k933,88,0
k1272,120,0
k1496,85,0
k1093,94,0
k1004,99,0
k987,81,0
k898,100,0
k1335,84,0
k1593,87,0
k1527,99,0
k1826,77,0
k964,84,0
k1368,95,0
k569,73,0
k1568,71,0
k1419,77,0
k335,81,0
k331,99,0
k1677,58,0
k841,62,0
k1246,80,0
k210,90,0
k387,101,0
k461,64,0
k1876,16,0
k1435,47,0
k219,97,0
k1500,89,0
k582,21,0
k1114,55,0
k1910,94,0
k1731,106,0
k209,78,0
k1387,92,0
k1888,68,0
k138,63,0
k112,44,0
k1698,72,0
k1877,49,0
k1231,87,0
k1268,91,0
k1493,103,0
k779,99,0
k1674,100,0
k1483,95,0
k835,111,0
k1563,89,0
k502,49,0
k194,66,0
k1283,46,0
k1822,71,0
k1684,19,0
k282,89,0
k997,87,0
k7,84,0
k1131,84,0
k1329,68,0
k369,23,0
k1726,90,0
k1588,30,0
k1569,45,0
k427,38,0
k1808,80,0
k1145,89,0
k1788,88,0
k1471,91,0
k75,86,0
k167,90,0
k567,64,0
k367,94,0
k1495,77,0
k1705,62,0
k1260,77,0
k507,68,0
k1244,74,0
k339,85,0
k893,63,0
k535,62,0
k393,81,0
k1226,84,0
k991,30,0
k1040,106,0
k1766,80,0
k937,79,0
k1147,110,0
k605,28,0
k1854,65,0
k1539,66,0
k1402,89,0
k827,84,0
k208,37,0
k1188,49,0
k540,68,0
k176,78,0
k1084,75,0
k1193,102,0
k450,99,0
k1013,97,0
k257,91,0
k1597,106,0
k1518,120,0
k47,103,0
k141,101,0
k647,116,1
k661,108,1
k321,100,1
k537,71,1
k1643,99,1
k169,109,1
k360,80,1
k1095,96,1
k1245,104,1
k1917,92,1
k604,79,1
k680,98,1
k359,46,1
k1897,47,1
k124,86,1
k262,109,1
k1437,97,1
k1207,78,1
k1720,105,1
k1140,98,1
k1881,106,1
k1741,89,1
k1396,70,1
k1068,36,1
k1678,104,1
k249,94,1
k1033,93,1
k996,84,1
k843,85,1
k1473,109,1
k1498,101,1
k1894,33,1
k79,95,1
k885,95,1
k1926,90,1
k1122,105,1
k723,97,1
k1520,77,1
k608,40,1
k831,97,1
k1063,87,1
k1445,113,1
k1346,97,1
k1607,51,1
k252,22,1
k1884,29,1
k1707,43,1
k24,102,1
k553,82,1
k1464,95,1
k994,96,1
k1751,43,1
k874,40,1
k839,95,1
k584,90,1
k1594,82,1
k764,44,1
k932,105,1
k812,89,1
k590,78,1
k832,90,1
k499,110,1
k536,94,1
k1443,113,1
k314,81,1
k495,86,1
k778,114,1
k1856,102,1
k1629,98,1
k222,95,1
k1827,96,1
k1685,52,1
k669,98,1
k12,102,1
k1450,109,1
k740,42,1
k1668,102,1
k1421,111,1
k630,51,1
k1000,81,1
k1699,96,1
k897,105,1
k916,95,1
k1172,93,1
k1372,93,1
k148,41,1
k66,104,1
