Key_1_1,V7,V19,Key_2_4
k1753,44,0.4706,k59
k1794,30,0.6,k730
k479,19,0.75,k305
k1888,45,0.5385,k1315
k1670,260,0.2833,k1637
k1269,87,0.55,k1525
k1578,432,0.1435,k195
k1529,20,0.9091,k820
k1377,26,0.8667,k1429
k741,167,0.3478,k350
k333,48,0.9231,k1558
k501,69,0.2381,k1642
k912,54,0.8,k1214
k848,60,0.4091,k1353
k618,68,0.5,k517
k1394,133,0.2542,k489
k822,282,0.2156,k212
k551,76,0.3684,k746
k223,25,0.875,k1236
k530,27,0.8,k1630
k23,34,0.6111,k688
k1598,29,0.6923,k237
k1588,19,0.9,k1732
k629,39,0.6667,k473
k513,35,0.5294,k1843
k1822,23,1.0,k566
k196,39,0.7368,k1584
k1015,18,0.6667,k294
k1530,253,0.2283,k1065
k1879,38,0.8667,k1089
k766,33,0.7778,k1710
k1886,63,0.6842,k875
k616,24,0.7778,k1618
k1734,28,1.0,k1091
k38,62,0.7931,k806
k1104,43,0.75,k1324
k3,39,0.8,k676
k619,72,0.2941,k170
k369,48,0.2778,k1390
k1364,23,0.5454,k1104
k858,54,0.2857,k402
k1152,36,0.4,k70
k119,26,0.6,k330
k1816,50,0.3333,k638
k66,21,0.5,k1424
k1276,49,0.2093,k908
k58,13,0.5833,k1200
k228,17,0.5454,k627
k786,12,0.8571,k860
k261,11,0.7778,k868
k1296,13,0.7778,k46
k1040,66,0.234,k1006
k380,27,0.45,k342
k1162,24,0.5,k420
k1507,34,0.45,k988
k1441,27,0.45,k933
k1219,7,0.9286,k1272
k450,30,0.48,k1496
k673,12,0.8,k1093
k847,15,0.6,k1004
k702,10,0.7,k987
k392,11,0.7,k898
k1224,11,0.6429,k1335
k1718,12,0.7778,k1593
k956,11,1.0,k1527
k1195,60,0.2093,k1826
k496,20,0.6154,k964
k1151,13,0.75,k1368
k348,14,0.5333,k569
k1782,9,0.6667,k1568
k156,13,0.7857,k1419
k1677,28,0.4286,k335
k557,20,0.5333,k331
k799,18,0.3529,k1677
k533,12,0.8889,k841
k986,6,0.875,k1246
k803,31,0.375,k210
k273,23,0.45,k387
k1181,285,0.097,k461
k502,201,0.1343,k1876
k1298,185,0.1831,k1435
k889,17,0.6154,k219
k1430,7,0.7273,k1500
k1130,604,0.0645,k582
k331,16,0.6667,k1114
k1004,17,0.6429,k1910
k170,20,0.5385,k1731
k1320,32,0.6316,k209
k1751,36,0.44,k1387
k1675,39,0.4167,k1888
k1351,52,0.3611,k138
k1632,69,0.3778,k112
k443,67,0.2955,k1698
k966,22,0.7222,k1877
k1704,7,1.0,k1231
k1402,29,0.4643,k1268
k229,26,0.4444,k1493
k1386,43,0.2414,k779
k121,19,0.5333,k1674
k219,16,0.7273,k1483
k1697,12,0.875,k835
k1856,21,0.7692,k1563
k322,28,0.6087,k502
k178,103,0.2105,k194
k1265,57,0.4063,k1283
k969,15,0.5882,k1822
k1288,197,0.1438,k1684
k69,28,0.5909,k282
k49,26,0.5454,k997
k1081,17,0.5625,k7
k1564,32,0.4583,k1131
k1149,35,0.5,k1329
k985,28,0.375,k369
k263,32,0.375,k1726
k706,84,0.2069,k1588
k1617,70,0.2121,k1569
k1378,30,0.5833,k427
k1730,45,0.3429,k1808
k608,20,0.6923,k1145
k255,86,0.2381,k1788
k1134,98,0.1795,k1471
k413,42,0.3784,k75
k1407,33,0.4583,k167
k781,30,0.4615,k567
k1589,27,0.4,k367
k1201,70,0.2143,k1495
k221,87,0.2712,k1705
k1581,32,0.4286,k1260
k20,103,0.2308,k507
k1079,31,0.4091,k1244
k1444,45,0.2571,k339
k1737,89,0.36,k893
k634,54,0.3514,k535
k1629,32,0.625,k393
k495,23,0.4706,k1226
k714,427,0.0717,k991
k906,18,0.3333,k1040
k510,26,0.5,k1766
k1205,23,0.6111,k937
k220,20,0.4286,k1147
k1532,359,0.0657,k605
k841,50,0.3333,k1854
k399,31,0.4231,k1539
k488,18,0.5,k1402
k360,14,0.7143,k827
k1264,357,0.0724,k208
k1354,53,0.3939,k1188
k1542,33,0.65,k540
k1336,61,0.2558,k176
k750,31,0.4444,k1084
k892,28,0.3333,k1193
k465,19,0.5263,k450
k1068,26,0.3462,k1013
k1494,34,0.4762,k257
k696,56,0.1915,k1597
k1590,24,0.4444,k1518
k1744,22,0.45,k47
k1057,21,0.5,k141
k154,17,0.5758,k647
k633,6,0.9231,k661
k812,31,0.4848,k321
k55,56,0.2927,k537
k987,11,0.6316,k1643
k584,15,0.7,k169
k559,172,0.1469,k360
k1583,161,0.204,k1095
k411,54,0.3889,k1245
k1732,59,0.2407,k1917
k684,56,0.3207,k604
k1274,36,0.3636,k680
k1426,23,0.6875,k359
k1014,42,0.3429,k1897
k107,13,0.6667,k124
k422,19,0.375,k262
k765,15,0.5294,k1437
k1596,42,0.3878,k1207
k1453,21,0.3636,k1720
k1323,14,0.7143,k1140
k1729,21,0.5263,k1881
k1791,19,0.5714,k1741
k970,12,0.8,k1396
k1736,11,0.6,k1068
k1071,12,0.6087,k1678
k478,94,0.234,k249
k1833,403,0.1805,k1033
k334,40,0.3539,k996
k1384,12,0.6154,k843
k328,13,0.6842,k1473
k1678,7,1.0,k1498
k775,56,0.3,k1894
k953,16,0.6786,k79
k361,12,0.4583,k885
k1636,17,0.3529,k1926
k1108,25,0.4643,k1122
k650,20,0.6667,k723
k468,98,0.2076,k1520
k194,27,0.4762,k608
k157,50,0.3103,k831
k683,17,0.6522,k1063
k1770,10,0.7333,k1445
k1615,20,0.4667,k1346
k1483,120,0.1505,k1607
k610,207,0.1624,k252
k895,103,0.2076,k1884
k1916,67,0.3771,k1707
k811,94,0.2906,k24
k693,380,0.2234,k553
k124,90,0.3286,k1464
k209,56,0.198,k994
k654,536,0.0794,k1751
k1829,102,0.2604,k874
k250,99,0.3556,k839
k172,62,0.2985,k584
k62,161,0.1931,k1594
k1122,129,0.271,k764
k1435,55,0.369,k932
k973,94,0.2353,k812
k734,230,0.1957,k590
k1585,77,0.2737,k832
k1032,70,0.1884,k499
k960,53,0.55,k536
k88,13,0.6667,k1443
k466,100,0.2551,k314
